,Name,Year,School,Pos,PTS,TRB,AST,STL,BLK,TOV,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV
217,Dijon Thompson,2006.0,UCLA,SG,18.4,7.9,2.3,1.5,0.3,3.3,2.8,1.1,0.1,0.3,0.1,0.2
218,Lawrence Roberts,2006.0,Mississippi State,C,16.9,11.0,1.9,1.6,0.8,2.7,1.5,1.5,0.2,0.2,0.1,0.2
219,Alex Acker,2006.0,Pepperdine,SG,16.6,6.5,3.7,1.3,0.5,2.6,1.8,1.0,0.8,0.2,0.0,0.8
220,LaMarcus Aldridge,2007.0,Texas,C,15.0,9.2,0.5,1.4,2.0,1.6,9.0,5.0,0.4,0.3,1.2,0.7
221,Adam Morrison,2007.0,Gonzaga,PF,28.1,5.5,1.7,1.1,0.3,2.3,11.8,2.9,2.1,0.4,0.1,1.7
222,Tyrus Thomas,2007.0,LSU,PF,12.3,9.2,1.3,1.0,3.1,1.8,5.2,3.7,0.6,0.6,1.1,1.3
223,Shelden Williams,2007.0,Duke,PF,18.8,10.7,1.1,1.7,3.8,2.5,5.5,5.4,0.5,0.6,0.5,1.2
224,Brandon Roy,2007.0,Washington,SG,20.2,5.6,4.1,1.4,0.8,2.3,16.8,4.4,4.0,1.2,0.2,2.0
225,Randy Foye,2007.0,Villanova,PG,20.5,5.8,3.0,1.4,0.6,2.2,10.1,2.7,2.8,0.6,0.3,1.9
226,Rudy Gay,2007.0,UConn,SF,15.2,6.4,2.1,1.8,1.6,2.5,10.8,4.5,1.3,0.9,0.9,1.8
227,Hilton Armstrong,2007.0,UConn,C,9.7,6.6,0.7,0.6,3.1,2.3,3.1,2.7,0.2,0.2,0.5,0.6
228,Ronnie Brewer,2007.0,Arkansas,SG,18.4,4.8,3.3,2.6,0.5,2.2,4.6,1.3,0.4,0.7,0.1,0.4
229,Cedric Simmons,2007.0,NC State,PF,11.8,6.3,1.7,0.7,2.5,1.8,2.9,2.5,0.3,0.2,0.5,0.5
230,Rodney Carney,2007.0,Memphis,SF,17.2,4.3,1.3,1.3,0.7,1.5,6.6,1.9,0.4,0.6,0.3,0.6
231,Shawne Williams,2007.0,Memphis,SG,13.2,6.2,1.9,1.4,1.4,2.3,3.9,1.8,0.5,0.1,0.2,0.5
232,Quincy Douby,2007.0,Rutgers,PG,25.4,4.3,3.1,1.8,0.8,2.8,2.8,0.9,0.4,0.4,0.1,0.4
233,Renaldo Balkman,2007.0,South Carolina,SF,9.6,6.3,1.9,1.7,1.3,1.7,4.9,4.3,0.6,0.8,0.6,0.7
234,Rajon Rondo,2007.0,Kentucky,PG,11.2,6.1,4.9,2.0,0.1,2.3,6.4,3.7,3.8,1.6,0.1,1.8
235,Marcus Williams,2007.0,UConn,PG,12.3,3.9,8.6,0.9,0.2,3.7,6.8,2.1,3.3,0.4,0.0,1.8
236,Josh Boone,2007.0,UConn,PF,10.3,7.0,0.6,0.4,2.0,1.2,4.2,2.9,0.2,0.2,0.3,0.5
237,Kyle Lowry,2007.0,Villanova,PG,11.0,4.3,3.7,2.3,0.2,2.1,5.6,3.1,3.2,1.4,0.1,1.2
238,Shannon Brown,2007.0,Michigan State,SG,17.2,4.4,2.7,1.5,0.1,2.5,3.2,0.9,0.4,0.3,0.1,0.6
239,Jordan Farmar,2007.0,UCLA,PG,13.5,2.6,5.1,1.1,0.2,3.6,4.4,1.7,1.9,0.6,0.1,1.0
240,Maurice Ager,2007.0,Michigan State,SG,19.3,4.1,2.5,0.7,0.3,2.6,2.2,0.7,0.2,0.1,0.1,0.5
241,Mardy Collins,2007.0,Temple,SF,16.8,4.7,4.0,2.8,0.2,2.0,4.5,2.0,1.6,0.6,0.1,1.1
242,James White,2007.0,Cincinnati,SG,16.3,5.1,2.0,1.1,0.8,2.3,8.3,3.3,0.8,0.5,0.2,0.8
243,Steve Novak,2007.0,Marquette,SF,17.5,5.9,1.3,0.6,0.1,1.0,1.5,0.7,0.2,0.1,0.0,0.1
244,Solomon Jones,2007.0,South Florida,PF,13.2,9.8,1.3,0.9,3.1,3.5,3.3,2.3,0.2,0.2,0.7,0.4
245,Paul Davis,2007.0,Michigan State,C,17.5,9.1,1.6,1.0,0.9,2.5,1.6,1.4,0.2,0.2,0.2,0.3
246,Craig Smith,2007.0,Boston College,PF,17.6,9.4,3.0,1.2,0.8,2.5,7.4,5.1,0.6,0.6,0.2,0.9
247,David Noel,2007.0,UNC,PF,12.9,6.8,3.5,1.1,0.7,3.1,2.7,1.8,1.0,0.4,0.1,0.6
249,James Augustine,2007.0,Illinois,PF,13.6,9.1,1.8,1.4,0.7,2.0,1.0,1.5,1.0,0.0,0.0,0.0
250,Daniel Gibson,2007.0,Texas,PG,13.4,3.6,3.1,1.3,0.3,1.9,4.6,1.5,1.2,0.4,0.1,0.7
251,Alexander Johnson,2007.0,Florida State,PF,13.2,7.4,0.7,1.1,1.0,2.8,4.4,3.1,0.3,0.4,0.6,0.8
252,Paul Millsap,2007.0,Louisiana Tech,PF,19.6,13.3,1.1,1.9,2.3,2.5,6.8,5.2,0.8,0.8,0.9,1.1
253,Leon Powe,2007.0,California,C,20.5,10.1,1.4,0.9,0.6,2.4,4.2,3.4,0.2,0.2,0.3,0.7
254,Ryan Hollins,2007.0,UCLA,C,7.0,4.8,0.3,0.2,0.9,1.2,2.4,1.1,0.0,0.1,0.3,0.6
255,Hassan Adams,2007.0,Arizona,SG,17.5,5.0,2.9,2.6,0.5,2.2,2.9,1.3,0.2,0.3,0.1,0.4
256,Will Blalock,2007.0,Iowa State,PG,15.4,3.3,6.1,2.2,0.1,3.0,1.8,1.1,1.2,0.4,0.0,0.9
257,Greg Oden,2009.0,Ohio State,C,15.7,9.6,0.7,0.6,3.3,2.0,8.9,7.0,0.5,0.4,1.1,1.4
258,Kevin Durant,2008.0,Texas,SG,25.8,11.1,1.3,1.9,1.9,2.8,20.3,4.4,2.4,1.0,0.9,2.9
259,Al Horford,2008.0,Florida,C,13.2,9.5,2.2,0.7,1.8,1.8,10.1,9.7,1.5,0.7,0.9,1.7
260,Mike Conley,2008.0,Ohio State,PG,11.3,3.4,6.1,2.2,0.3,2.2,9.4,2.6,4.2,0.8,0.0,1.7
261,Jeff Green,2008.0,Georgetown,SF,14.3,6.4,3.2,0.8,1.2,2.6,10.5,4.7,1.5,0.6,0.6,2.0
262,Corey Brewer,2008.0,Florida,SF,13.2,4.7,2.9,1.9,0.4,2.5,5.8,3.7,1.4,1.0,0.3,1.1
263,Brandan Wright,2008.0,UNC,PF,14.7,6.2,1.0,1.0,1.8,1.6,4.0,2.6,0.2,0.2,0.6,0.3
264,Joakim Noah,2008.0,Florida,C,12.0,8.4,2.3,1.1,1.8,2.5,6.6,5.6,1.1,0.9,0.9,1.2
265,Spencer Hawes,2008.0,Washington,C,14.9,6.4,1.9,0.5,1.7,2.5,4.7,3.2,0.6,0.2,0.6,0.8
266,Acie Law,2008.0,Texas A&M,PG,18.1,3.3,5.0,1.1,0.0,2.6,4.2,1.0,2.0,0.5,0.0,1.0
267,Thaddeus Young,2008.0,Georgia Tech,PF,14.4,4.9,2.0,1.3,0.4,2.2,8.2,4.2,0.8,1.0,0.1,0.9
268,Julian Wright,2008.0,Kansas,SF,12.0,7.8,2.2,1.4,1.3,2.4,3.9,2.1,0.7,0.5,0.2,0.6
269,Al Thornton,2008.0,Florida State,PF,19.7,7.2,0.7,1.5,1.1,2.5,12.7,4.5,1.2,0.6,0.5,1.6
270,Rodney Stuckey,2008.0,Eastern Washington,PG,24.6,4.7,5.5,2.4,0.3,3.4,7.6,2.3,2.8,0.9,0.1,1.4
271,Nick Young,2008.0,USC,SG,17.5,4.6,1.4,0.7,0.3,2.4,7.5,1.5,0.8,0.5,0.1,1.3
272,Sean Williams,2008.0,Boston College,C,12.1,6.9,1.2,1.4,5.0,2.3,5.6,4.4,0.4,0.4,1.5,1.0
273,Javaris Crittenton,2008.0,Georgia Tech,SG,14.4,3.7,5.8,2.0,0.1,3.9,5.6,2.2,1.0,0.4,0.0,1.1
274,Jason Smith,2008.0,Colorado State,PF,16.8,10.1,1.9,0.5,1.6,3.4,4.5,3.0,0.3,0.3,0.7,0.6
275,Daequan Cook,2008.0,Ohio State,SG,9.8,4.3,1.0,0.7,0.3,1.4,8.8,3.0,1.3,0.4,0.2,1.1
276,Jared Dudley,2008.0,Boston College,PF,19.0,8.3,3.0,1.4,0.3,2.6,5.8,3.9,1.1,0.8,0.1,0.7
277,Wilson Chandler,2008.0,DePaul,SF,14.6,6.9,1.4,0.6,1.4,1.6,7.3,3.6,0.9,0.4,0.5,0.8
278,Morris Almond,2008.0,Rice,SG,26.4,6.6,1.2,1.2,0.8,3.4,1.4,0.2,0.3,0.1,0.0,0.2
279,Aaron Brooks,2008.0,Oregon,PG,17.7,4.3,4.3,1.4,0.2,2.5,5.2,1.1,1.7,0.3,0.1,0.9
280,Arron Afflalo,2008.0,UCLA,SG,16.9,2.8,1.9,0.6,0.2,1.8,3.7,1.8,0.7,0.4,0.1,0.5
281,Alando Tucker,2008.0,Wisconsin,SF,19.9,5.4,2.0,0.9,0.3,1.7,3.7,1.3,0.0,0.0,0.2,0.0
282,Carl Landry,2008.0,Purdue,PF,18.9,7.3,1.2,1.2,0.9,3.0,8.1,4.9,0.5,0.4,0.2,0.6
283,Gabe Pruitt,2008.0,USC,PG,12.5,2.8,4.3,1.8,0.3,1.8,2.1,0.5,0.9,0.3,0.0,0.3
284,Nick Fazekas,2008.0,Nevada,PF,20.4,11.1,1.8,0.8,1.5,2.0,4.1,3.4,0.4,0.3,0.4,0.5
285,Glen Davis,2008.0,LSU,C,17.7,10.4,2.3,1.1,1.0,2.8,4.5,3.0,0.4,0.4,0.3,0.9
286,Jermareo Davidson,2008.0,Alabama,SF,14.0,8.2,1.5,0.8,2.3,1.7,3.2,1.6,0.3,0.2,0.4,0.4
287,Josh McRoberts,2008.0,Duke,PF,13.0,7.9,3.5,1.2,2.5,2.4,1.5,1.3,0.3,0.1,0.0,0.3
288,Chris Richard,2008.0,Florida,C,6.2,3.7,0.4,0.3,0.3,1.2,1.9,2.6,0.3,0.2,0.2,0.5
289,Derrick Byars,2012.0,Vanderbilt,PF,17.0,4.9,3.4,1.4,0.1,2.4,5.0,5.5,0.5,1.0,0.0,0.0
293,Dominic McGuire,2008.0,Fresno State,SG,13.5,9.8,3.3,0.9,3.6,3.7,1.3,2.0,0.6,0.3,0.4,0.6
294,Aaron Gray,2008.0,Pitt,C,13.9,9.5,1.7,0.4,1.7,1.5,4.3,2.8,0.7,0.3,0.3,0.9
295,JamesOn Curry,2010.0,Oklahoma State,PG,17.3,3.2,3.7,1.2,0.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0
296,Taurean Green,2008.0,Florida,SG-PG,13.3,2.4,3.7,1.1,0.0,2.7,1.6,0.6,0.6,0.1,0.0,0.5
297,Demetris Nichols,2008.0,Syracuse,SF,18.9,5.4,1.5,1.4,1.1,2.2,1.1,0.4,0.1,0.0,0.2,0.3
299,Ramon Sessions,2008.0,Nevada,PG,12.3,4.7,4.7,0.9,0.2,2.5,8.1,3.4,7.5,1.0,0.2,2.1
301,Derrick Rose,2009.0,Memphis,PG,14.9,4.5,4.7,1.2,0.4,2.7,16.8,3.9,6.3,0.8,0.2,2.5
302,Michael Beasley,2009.0,Kansas State,PF,26.2,12.4,1.2,1.3,1.6,2.9,13.9,5.4,1.0,0.5,0.5,1.5
303,Russell Westbrook,2009.0,UCLA,PG,12.7,3.9,4.3,1.6,0.2,2.5,15.3,4.9,5.3,1.3,0.2,3.3
304,Kevin Love,2009.0,UCLA,C,17.5,10.6,1.9,0.7,1.4,2.0,11.1,9.1,1.0,0.4,0.6,1.5
305,Eric Gordon,2009.0,Indiana,SG,20.9,3.3,2.4,1.3,0.6,3.6,16.1,2.6,2.8,1.0,0.4,2.1
306,Joe Alexander,2009.0,West Virginia,SF,16.9,6.4,2.4,0.7,1.5,2.2,4.7,1.9,0.7,0.3,0.5,0.9
307,Brook Lopez,2009.0,Stanford,C,19.3,8.2,1.4,0.6,2.1,2.1,13.0,8.1,1.0,0.5,1.8,1.8
308,Jerryd Bayless,2009.0,Arizona,PG,19.7,2.7,4.0,1.0,0.1,3.0,4.3,1.1,1.5,0.3,0.0,1.1
309,Jason Thompson,2009.0,Rider,PF,20.4,12.1,2.7,1.1,2.7,2.9,11.1,7.4,1.1,0.6,0.7,1.8
310,Brandon Rush,2009.0,Kansas,SG,13.3,5.1,2.1,0.8,0.8,1.8,8.1,3.1,0.9,0.5,0.5,1.0
311,Anthony Randolph,2009.0,LSU,PF,15.6,8.5,1.2,1.1,2.3,3.0,7.9,5.8,0.8,0.7,1.2,1.3
312,Robin Lopez,2009.0,Stanford,C,10.2,5.7,0.6,0.5,2.3,1.8,3.2,2.0,0.1,0.2,0.7,0.5
313,Marreese Speights,2009.0,Florida,C,14.5,8.1,0.9,0.4,1.4,1.7,7.7,3.7,0.4,0.3,0.7,0.6
314,Roy Hibbert,2009.0,Georgetown,C,13.4,6.4,1.9,0.5,2.2,1.7,7.1,3.5,0.7,0.3,1.1,0.8
315,JaVale McGee,2009.0,Nevada,C,14.1,7.3,0.6,0.8,2.8,2.4,6.5,3.9,0.3,0.4,1.0,0.8
316,Ryan Anderson,2009.0,California,PF,21.1,9.9,1.4,0.4,0.5,2.2,7.4,4.7,0.8,0.7,0.3,1.0
317,Courtney Lee,2009.0,Western Kentucky,SG,20.4,4.9,2.1,1.8,0.8,2.3,8.4,2.3,1.2,1.0,0.2,0.9
318,Kosta Koufos,2009.0,Ohio State,C,14.4,6.7,0.5,0.4,1.8,1.5,4.7,2.9,0.4,0.3,0.6,0.5
319,George Hill,2009.0,IUPUI,PG,21.5,6.8,4.3,1.8,0.4,2.9,5.7,2.1,1.8,0.6,0.3,1.0
320,Darrell Arthur,2009.0,Kansas,PF,12.8,6.3,0.8,0.5,1.3,1.9,5.6,4.6,0.6,0.7,0.7,0.6
321,Walter Sharpe,2009.0,Alabama-Birmingham,PF,14.2,6.8,1.7,1.2,1.8,2.8,1.0,0.4,0.0,0.0,0.3,0.0
322,Joey Dorsey,2009.0,Memphis,PF,6.9,9.5,0.5,1.1,1.9,1.1,0.7,0.3,0.3,0.0,0.0,0.0
323,Mario Chalmers,2009.0,Kansas,PG,12.8,3.1,4.3,2.5,0.6,1.9,10.0,2.8,4.9,2.0,0.1,2.0
324,DeAndre Jordan,2009.0,Texas A&M,C,7.9,6.0,0.4,0.2,1.3,1.6,4.3,4.5,0.2,0.2,1.1,0.8
325,Kyle Weaver,2009.0,Washington State,SG,12.2,5.3,4.3,1.7,0.7,2.8,5.3,2.3,1.8,0.8,0.4,1.2
326,Sonny Weems,2009.0,Arkansas,SG,15.0,4.5,2.6,1.3,0.2,2.8,1.6,0.3,0.3,0.1,0.0,0.5
327,Chris Douglas-Roberts,2009.0,Memphis,SG,18.1,4.1,1.8,1.2,0.5,2.1,4.9,1.1,1.2,0.3,0.2,0.7
328,Sean Singletary,2009.0,Virginia,PG,19.8,3.8,6.1,1.8,0.0,3.9,2.4,0.9,0.8,0.3,0.0,0.6
330,Malik Hairston,2009.0,Oregon,SG,16.3,4.8,2.1,0.6,0.8,1.8,3.3,1.9,0.9,0.4,0.5,0.8
334,Darnell Jackson,2009.0,Kansas,PF,11.2,6.7,1.1,0.8,0.5,1.3,1.9,1.7,0.2,0.2,0.1,0.3
336,Sasha Kaun,2016.0,Kansas,C,7.1,3.9,0.3,0.4,1.2,0.8,0.9,1.0,0.1,0.2,0.2,0.3
338,Joe Crawford,2009.0,Kentucky,SF,17.9,3.6,2.1,0.6,0.2,2.8,4.5,2.0,0.5,0.5,0.0,0.0
340,Blake Griffin,2011.0,Oklahoma,PF,22.7,14.4,2.3,1.1,1.2,3.3,22.5,12.1,3.8,0.8,0.5,2.7
341,Hasheem Thabeet,2010.0,UConn,C,13.6,10.8,0.5,0.6,4.2,1.9,3.1,3.6,0.2,0.2,1.3,0.6
342,James Harden,2010.0,Arizona State,SG,20.1,5.6,4.2,1.7,0.3,3.4,9.9,3.2,1.8,1.1,0.3,1.4
343,Tyreke Evans,2010.0,Memphis,SG,17.1,5.4,3.9,2.1,0.8,3.6,20.1,5.3,5.8,1.5,0.4,3.0
344,Jonny Flynn,2010.0,Syracuse,PG,17.4,2.7,6.7,1.4,0.2,3.4,13.5,2.4,4.4,1.0,0.0,2.9
345,Stephen Curry,2010.0,Davidson,PG,28.6,4.4,5.6,2.5,0.2,3.7,17.5,4.5,5.9,1.9,0.2,3.0
346,Jordan Hill,2010.0,Arizona,PF,18.3,11.0,1.5,0.9,1.7,2.9,5.2,3.7,0.4,0.3,0.4,0.6
347,DeMar DeRozan,2010.0,USC,SG,13.9,5.7,1.5,0.9,0.4,2.1,8.6,2.9,0.7,0.6,0.2,0.8
348,Terrence Williams,2010.0,Louisville,SF,12.5,8.6,5.0,2.3,0.8,2.3,8.4,4.5,2.9,0.6,0.1,1.6
349,Tyler Hansbrough,2010.0,UNC,PF,20.7,8.1,1.0,1.2,0.4,1.9,8.5,4.8,1.0,0.6,0.3,0.7
350,Earl Clark,2010.0,Louisville,PF,14.2,8.7,3.2,1.0,1.4,3.2,2.7,1.2,0.4,0.1,0.3,0.5
351,Austin Daye,2010.0,Gonzaga,SF,12.7,6.8,1.1,0.7,2.1,2.1,5.1,2.5,0.5,0.4,0.4,0.7
352,James Johnson,2010.0,Quinnipiac,PF,9.8,3.7,4.1,1.5,0.1,2.8,3.9,2.0,0.7,0.3,0.7,1.0
353,Jrue Holiday,2010.0,UCLA,PG,8.5,3.8,3.7,1.6,0.5,2.1,8.0,2.6,3.8,1.1,0.2,2.1
354,Ty Lawson,2010.0,UNC,PG,16.6,3.0,6.6,2.1,0.1,1.9,8.3,1.9,3.1,0.7,0.0,1.3
355,Jeff Teague,2010.0,Wake Forest,PG,18.8,3.3,3.5,1.9,0.6,3.4,3.2,0.9,1.7,0.5,0.2,0.7
356,Eric Maynor,2010.0,VCU,PG,22.4,3.6,6.2,1.7,0.2,3.0,4.7,1.6,3.3,0.5,0.1,1.0
357,Darren Collison,2010.0,UCLA,PG,14.4,2.4,4.7,1.6,0.1,2.5,12.4,2.5,5.7,1.0,0.1,2.7
358,Taj Gibson,2010.0,USC,PF,14.3,9.0,1.3,1.0,2.9,2.1,9.0,7.5,0.9,0.6,1.3,1.4
359,DeMarre Carroll,2010.0,Missouri,SF,16.6,7.2,2.2,1.6,0.7,1.5,2.9,2.1,0.5,0.4,0.1,0.3
360,Wayne Ellington,2010.0,UNC,SG,15.8,4.9,2.7,0.9,0.2,1.6,6.6,2.1,1.0,0.3,0.1,1.0
361,Toney Douglas,2010.0,Florida State,PG,21.5,3.9,2.9,1.8,0.4,2.5,8.6,1.9,2.0,0.8,0.1,1.0
362,Jermaine Taylor,2010.0,UCF,SG,26.2,5.2,1.9,1.3,0.8,2.8,4.1,1.5,0.5,0.3,0.1,0.6
363,Dante Cunningham,2010.0,Villanova,PF,16.1,7.5,1.2,1.2,1.2,2.2,3.9,2.5,0.2,0.4,0.3,0.2
364,DaJuan Summers,2010.0,Georgetown,SF,13.6,4.1,1.3,1.1,0.7,2.6,3.0,1.0,0.4,0.2,0.2,0.4
365,Sam Young,2010.0,Pitt,SF,19.2,6.3,1.1,1.0,0.8,2.4,7.4,2.5,0.7,0.4,0.3,1.2
366,DeJuan Blair,2010.0,Pitt,PF,15.7,12.3,1.2,1.5,1.0,1.3,7.8,6.4,0.8,0.6,0.5,1.4
367,Jon Brockman,2010.0,Washington,PF,14.9,11.5,1.1,0.9,0.1,1.9,2.8,4.1,0.4,0.3,0.1,0.4
368,Derrick Brown,2010.0,Xavier,SF,13.7,6.1,1.9,0.7,0.9,1.7,3.3,1.4,0.3,0.4,0.2,0.3
369,Jodie Meeks,2010.0,Kentucky,SG,23.7,3.4,1.8,1.3,0.1,2.7,4.7,1.7,0.7,0.3,0.1,0.4
370,Marcus Thornton,2010.0,LSU,SG,21.1,5.5,2.1,1.6,0.4,1.8,14.5,2.9,1.6,0.8,0.2,1.0
371,Chase Budinger,2010.0,Arizona,SF,18.0,6.2,3.4,1.4,0.5,2.4,8.9,3.0,1.2,0.5,0.1,0.6
372,Nick Calathes,2014.0,Florida,SG,17.2,5.3,6.4,1.9,0.2,3.3,4.9,1.9,2.9,0.9,0.1,1.4
373,Danny Green,2010.0,UNC,SG,13.1,4.7,2.7,1.8,1.3,1.7,2.0,0.9,0.3,0.3,0.2,0.3
374,Taylor Griffin,2010.0,Oklahoma,SF,9.6,5.8,1.3,1.3,1.0,1.7,1.3,0.3,0.1,0.0,0.3,0.1
379,Lester Hudson,2010.0,UT-Martin,PG,27.5,7.9,4.2,2.3,0.6,3.3,2.3,0.7,0.5,0.3,0.1,0.6
382,John Wall,2011.0,Kentucky,PG,16.6,4.3,6.5,1.8,0.5,4.0,16.4,4.6,8.3,1.8,0.5,3.8
383,Evan Turner,2011.0,Ohio State,SG,20.4,9.2,6.0,1.7,0.9,4.4,7.2,3.9,2.0,0.6,0.2,1.0
384,Derrick Favors,2011.0,Georgia Tech,PF,12.4,8.4,1.0,0.9,2.1,2.5,6.8,5.3,0.5,0.4,0.9,1.0
385,DeMarcus Cousins,2011.0,Kentucky,C,15.1,9.8,1.0,1.0,1.8,2.1,14.1,8.6,2.5,1.0,0.8,3.3
386,Ekpe Udoh,2011.0,Baylor,C,13.9,9.8,2.7,0.8,3.7,2.4,4.1,3.1,0.7,0.4,1.5,0.8
387,Greg Monroe,2011.0,Georgetown,C,16.1,9.6,3.8,1.2,1.5,3.3,9.4,7.5,1.3,1.2,0.6,1.0
388,Al-Farouq Aminu,2011.0,Wake Forest,SF,15.8,10.7,1.3,1.4,1.4,3.2,5.6,3.3,0.7,0.7,0.3,1.3
389,Gordon Hayward,2011.0,Butler,SF,15.5,8.2,1.7,1.1,0.8,2.3,5.4,1.9,1.1,0.4,0.3,1.0
390,Paul George,2011.0,Fresno State,SG,16.8,7.2,3.0,2.2,0.8,3.2,7.8,3.7,1.1,1.0,0.4,1.1
391,Cole Aldrich,2011.0,Kansas,C,11.3,9.8,0.9,0.8,3.5,1.6,1.0,1.9,0.2,0.3,0.4,0.4
392,Xavier Henry,2011.0,Kansas,SG,13.4,4.4,1.5,1.5,0.5,1.9,4.3,1.0,0.5,0.3,0.1,0.3
393,Ed Davis,2011.0,UNC,PF,13.4,9.6,1.0,0.4,2.8,2.0,7.7,7.1,0.6,0.6,1.0,0.7
394,Patrick Patterson,2011.0,Kentucky,PF,14.3,7.4,0.9,0.7,1.3,1.1,6.3,3.8,0.8,0.3,0.7,0.6
395,Larry Sanders,2011.0,VCU,C,14.4,9.1,1.0,0.7,2.6,1.7,4.3,3.0,0.3,0.4,1.2,0.6
396,Luke Babbitt,2011.0,Nevada,SF,21.9,8.9,2.1,1.0,0.8,2.4,1.5,1.3,0.3,0.1,0.1,0.3
397,Eric Bledsoe,2011.0,Kentucky,PG,11.3,3.1,2.9,1.4,0.3,3.0,6.7,2.8,3.6,1.1,0.3,2.4
398,Avery Bradley,2011.0,Texas,PG,11.6,2.9,2.1,1.3,0.5,1.5,1.7,0.5,0.4,0.3,0.0,0.5
399,James Anderson,2011.0,BYU,SF,1.2,1.0,0.1,0.1,0.2,0.2,3.6,0.9,0.7,0.1,0.2,0.5
400,Craig Brackins,2011.0,Iowa State,PF,16.5,8.5,2.2,0.8,1.2,2.1,2.7,1.3,0.3,0.3,0.0,0.0
401,Elliot Williams,2012.0,Memphis,SG,17.9,4.0,3.8,1.3,0.1,2.9,3.7,0.8,0.3,0.3,0.1,0.2
402,Trevor Booker,2011.0,Clemson,PF,15.2,8.4,2.5,1.3,1.4,1.9,5.3,3.9,0.5,0.4,0.6,0.6
403,Damion James,2011.0,Texas,SF,18.0,10.3,1.0,1.7,1.2,2.0,4.4,3.4,0.8,0.6,0.5,1.0
404,Dominique Jones,2011.0,South Florida,SG,21.4,6.1,3.6,1.7,0.6,2.9,2.3,1.4,1.1,0.3,0.2,0.6
405,Quincy Pondexter,2011.0,Washington,SF,19.3,7.4,1.8,1.3,0.6,1.9,2.8,1.3,0.4,0.3,0.2,0.2
406,Jordan Crawford,2011.0,Xavier,SG,20.5,4.7,2.9,1.3,0.2,2.4,11.7,2.5,2.8,0.9,0.1,2.0
407,Daniel Orton,2012.0,Kentucky,PF,3.4,3.3,0.4,0.6,1.4,1.0,2.8,2.4,0.3,0.5,0.6,0.4
408,Lazar Hayward,2011.0,Marquette,SF,18.1,7.5,1.5,1.9,0.5,2.0,3.8,1.7,0.7,0.3,0.2,0.5
409,Dexter Pittman,2011.0,Texas,C,10.4,5.9,0.5,0.4,1.9,1.8,1.0,1.5,0.0,0.0,0.0,1.0
410,Hassan Whiteside,2011.0,Marshall,C,13.1,8.9,0.3,0.6,5.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0
411,Armon Johnson,2011.0,Nevada,PG,15.7,3.4,5.6,0.8,0.4,3.4,2.9,0.9,1.2,0.1,0.0,1.0
413,Darington Hobson,2012.0,New Mexico,SG,15.9,9.3,4.6,1.3,0.4,3.0,0.8,0.6,1.2,0.0,0.0,0.4
414,Andy Rautins,2011.0,Syracuse,SG,12.1,3.4,4.9,2.0,0.2,2.8,1.6,0.2,0.6,0.2,0.0,1.4
415,Landry Fields,2011.0,Stanford,SG,22.0,8.8,2.8,1.6,0.8,2.6,9.7,6.4,1.9,1.0,0.2,1.3
416,Lance Stephenson,2011.0,Cincinnati,SG,12.3,5.4,2.5,0.9,0.2,2.4,3.1,1.5,1.8,0.3,0.0,1.3
417,Jarvis Varnado,2013.0,Mississippi State,PF,13.8,10.3,0.9,0.7,4.7,2.0,0.6,0.7,0.2,0.1,0.2,0.5
418,Devin Ebanks,2011.0,West Virginia,SG,12.0,8.1,2.4,1.1,0.7,2.2,3.1,1.4,0.1,0.2,0.3,0.3
419,Jerome Jordan,2012.0,Tulsa,C,15.4,9.1,1.3,0.5,2.3,2.3,2.0,1.3,0.2,0.0,0.3,0.1
420,Gani Lawal,2011.0,Georgia Tech,PF,13.1,8.5,0.4,0.4,1.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0
422,Solomon Alabi,2011.0,Florida State,C,11.7,6.2,0.5,0.6,2.3,1.9,0.5,1.2,0.2,0.2,0.2,0.3
424,Luke Harangody,2011.0,Notre Dame,PF,21.8,9.1,1.6,0.5,0.7,1.8,3.9,2.9,0.6,0.3,0.3,0.3
425,Willie Warren,2011.0,Oklahoma,PG,16.3,3.3,4.1,1.0,0.0,3.8,1.9,0.6,1.4,0.3,0.0,0.4
426,Jeremy Evans,2011.0,Western Kentucky,SF,10.0,6.9,0.7,0.8,1.8,1.1,3.6,2.0,0.5,0.3,0.3,0.4
427,Ryan Reid,2012.0,Florida State,PF,6.8,4.0,1.1,0.6,0.5,1.6,1.6,0.4,0.0,0.0,0.0,0.2
428,Derrick Caracter,2011.0,UTEP,C,14.1,8.1,1.1,1.0,0.9,2.9,2.0,1.0,0.2,0.1,0.2,0.5
431,Kyrie Irving,2012.0,Duke,PG,17.5,3.4,4.3,1.5,0.5,2.5,18.5,3.7,5.4,1.1,0.4,3.1
432,Tristan Thompson,2012.0,North Texas,PF,18.0,3.2,1.8,0.7,0.1,2.2,8.2,6.5,0.5,0.5,1.0,1.4
433,Brandon Knight,2012.0,Kentucky,PG,17.3,4.0,4.2,0.7,0.2,3.2,12.8,3.2,3.8,0.7,0.2,2.6
434,Kemba Walker,2012.0,UConn,PG,23.5,5.4,4.5,1.9,0.2,2.3,12.1,3.5,4.4,0.9,0.3,1.8
435,Jimmer Fredette,2012.0,BYU,PG,28.9,3.4,4.3,1.3,0.0,3.5,7.6,1.2,1.8,0.5,0.0,1.1
