,Name,Year,School,Pos,PTS,TRB,AST,STL,BLK,TOV,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV
48,Michael Bradley,2002.0,Villanova,PF,20.8,9.8,2.6,0.9,1.8,2.8,1.2,0.9,0.1,0.0,0.2,0.2
49,Jason Collins,2002.0,Stanford,C,14.5,7.8,1.5,0.8,1.3,1.6,4.5,3.9,1.1,0.4,0.6,0.9
50,Zach Randolph,2002.0,Michigan State,PF,10.8,6.7,1.0,0.7,0.7,1.6,2.8,1.7,0.3,0.2,0.1,0.4
51,Brendan Haywood,2002.0,UNC,C,12.3,7.3,1.3,0.5,3.6,2.0,5.1,5.2,0.5,0.3,1.5,0.8
52,Joseph Forte,2002.0,UNC,SG,20.9,6.1,3.5,2.0,0.4,2.5,0.8,0.8,0.8,0.3,0.0,0.4
53,Jeryl Sasser,2002.0,SMU,SG,17.0,8.3,0.8,1.4,0.6,2.1,1.4,1.0,0.3,0.4,0.0,0.3
54,Brandon Armstrong,2002.0,Pepperdine,SG,22.1,3.3,1.5,1.5,0.2,2.1,1.8,0.5,0.2,0.2,0.0,0.2
55,Gerald Wallace,2002.0,Alabama,SF,9.8,6.0,1.5,1.2,1.0,2.4,3.2,1.6,0.5,0.4,0.1,0.4
56,Samuel Dalembert,2002.0,Seton Hall,C,8.3,5.7,0.3,0.5,2.1,1.9,1.5,2.0,0.1,0.2,0.4,0.4
57,Jamaal Tinsley,2002.0,Iowa State,PG,14.3,3.8,6.0,2.5,0.6,3.8,9.4,3.7,8.1,1.7,0.5,3.4
58,Trenton Hassell,2002.0,Austin Peay,SG,21.7,7.8,4.5,1.2,0.5,3.8,8.7,3.3,2.2,0.7,0.6,1.3
59,Gilbert Arenas,2002.0,Arizona,PG,16.2,3.6,2.3,1.8,0.2,2.8,10.9,2.8,3.7,1.5,0.2,2.1
60,Omar Cook,2004.0,St. John's (NY),PG,15.3,3.0,8.7,2.3,0.2,5.1,0.8,0.4,1.4,0.6,0.0,0.6
61,Will Solomon,2002.0,Clemson,SG,19.7,2.9,3.4,1.4,0.3,4.1,5.2,1.1,1.5,0.6,0.1,1.0
62,Terence Morris,2002.0,Maryland,SF,12.2,7.7,1.9,0.9,2.2,1.8,3.8,3.1,0.9,0.3,0.4,0.7
63,Brian Scalabrine,2002.0,USC,PF,14.7,5.9,2.8,0.9,0.9,3.1,2.1,1.8,0.8,0.3,0.1,0.9
64,Jeff Trepagnier,2002.0,USC,SG,9.0,5.1,1.6,1.5,1.0,1.9,1.5,1.0,1.0,0.7,0.3,0.9
65,Damone Brown,2002.0,Syracuse,SF,16.4,8.8,1.6,1.7,1.4,2.0,1.4,0.2,0.1,0.1,0.1,0.5
67,Earl Watson,2002.0,UCLA,PG,14.7,3.7,5.2,1.9,0.3,3.4,3.6,1.3,2.0,0.9,0.1,0.8
68,Jamison Brewer,2002.0,Auburn,SG,8.4,7.2,5.8,1.5,0.1,2.9,0.3,0.6,0.7,0.2,0.0,0.2
69,Bobby Simmons,2002.0,DePaul,SF,16.7,8.6,2.5,0.8,0.1,2.1,3.7,1.7,0.6,0.4,0.2,0.5
72,Sean Lampley,2003.0,California,SF,19.5,7.2,3.3,0.9,0.5,3.6,4.8,2.4,0.9,0.2,0.1,0.7
73,Loren Woods,2002.0,Arizona,C,13.2,6.5,2.1,0.7,2.9,2.0,1.8,2.0,0.4,0.3,0.6,0.6
74,Ruben Boumtje-Boumtje,2002.0,Georgetown,C,9.1,6.8,0.9,0.7,2.4,2.2,1.2,1.7,0.1,0.1,0.5,0.4
75,Alton Ford,2002.0,Houston,PF,10.8,5.9,0.7,0.2,0.7,2.5,3.1,2.0,0.1,0.1,0.1,0.6
77,Jarron Collins,2002.0,Stanford,C,12.8,6.7,1.4,0.6,0.6,1.5,6.4,4.2,0.8,0.4,0.3,0.8
78,Kenny Satterfield,2002.0,Cincinnati,PG,14.4,4.7,5.1,1.7,0.2,3.2,5.3,1.4,3.0,0.9,0.0,1.5
80,Alvin Jones,2002.0,Georgia Tech,C,13.4,10.4,1.5,0.9,3.4,3.0,1.1,1.6,0.1,0.1,0.4,0.5
82,Jay Williams,2003.0,Duke,PG,21.3,3.5,5.3,2.2,0.1,3.7,9.5,2.6,4.7,1.1,0.2,2.3
83,Drew Gooden,2003.0,Kansas,SF-PF,19.8,11.4,2.0,1.8,1.4,2.9,12.5,6.5,1.2,0.8,0.5,2.1
84,Dajuan Wagner,2003.0,Memphis,SG,21.2,2.5,3.6,1.2,0.6,2.9,13.4,1.7,2.8,0.8,0.1,1.8
85,Chris Wilcox,2003.0,Maryland,PF,12.0,7.1,1.5,0.8,1.5,1.5,3.7,2.3,0.5,0.2,0.3,0.6
86,Caron Butler,2003.0,UConn,SF,20.3,7.5,3.0,2.1,0.4,2.9,15.4,5.1,2.7,1.8,0.4,2.5
87,Jared Jeffries,2003.0,Indiana,SF,15.0,7.6,2.1,1.5,1.3,2.8,4.0,2.9,0.8,0.4,0.3,1.1
88,Melvin Ely,2003.0,Fresno State,C,23.3,9.1,1.8,0.7,3.1,2.6,4.5,3.3,0.3,0.2,0.6,1.0
89,Marcus Haislip,2003.0,Tennessee,PF,16.7,6.7,1.0,0.4,1.8,2.0,4.1,1.4,0.2,0.2,0.5,0.5
90,Fred Jones,2003.0,Oregon,SG,18.6,5.4,3.2,1.8,0.5,2.3,1.2,0.5,0.3,0.3,0.1,0.3
91,Juan Dixon,2003.0,Maryland,PG,20.4,4.6,2.9,2.6,0.2,2.5,6.4,1.7,1.0,0.6,0.1,1.0
92,Curtis Borchardt,2004.0,Stanford,C,16.9,11.4,2.0,0.6,2.9,2.0,3.6,3.4,0.9,0.3,0.9,1.1
93,Ryan Humphrey,2003.0,Notre Dame,PF,18.9,10.9,2.6,1.1,2.8,2.5,1.9,2.1,0.2,0.2,0.4,0.5
94,Kareem Rush,2003.0,Missouri,PG,19.8,5.2,2.5,1.1,0.6,2.9,3.0,1.2,0.9,0.1,0.1,0.8
95,Casey Jacobsen,2003.0,Stanford,SF,21.9,4.5,3.5,0.6,0.1,2.4,5.1,1.2,1.0,0.5,0.1,0.8
96,Tayshaun Prince,2003.0,Kentucky,SF,17.5,6.3,1.6,1.1,1.3,2.0,3.3,1.1,0.6,0.2,0.3,0.5
97,Frank Williams,2003.0,Illinois,PG,16.2,4.7,4.4,2.0,0.3,2.7,1.3,0.9,1.6,0.3,0.1,0.8
98,John Salmons,2003.0,Miami (FL),PG,13.1,6.0,6.1,1.8,0.6,3.7,2.1,0.9,0.7,0.3,0.1,0.5
99,Chris Jefferies,2003.0,Fresno State,SF,17.3,6.3,3.0,1.2,1.2,2.4,3.9,1.2,0.4,0.4,0.3,0.9
100,Dan Dickau,2003.0,Gonzaga,PG,21.0,3.0,4.7,0.8,0.1,2.9,3.7,0.9,1.7,0.3,0.0,1.1
102,Roger Mason,2003.0,Virginia,SF,18.6,3.2,4.1,0.9,0.4,3.0,1.8,0.7,0.7,0.2,0.0,0.3
103,Robert Archibald,2003.0,Illinois,PF,10.6,5.5,1.3,0.7,1.1,2.0,1.6,1.4,0.3,0.0,0.3,0.6
104,Vincent Yarbrough,2003.0,Tennessee,SG,18.1,7.5,2.8,1.9,0.8,3.0,6.9,2.7,2.2,1.0,0.6,1.4
105,Dan Gadzuric,2003.0,UCLA,C,11.7,7.7,0.7,0.5,1.3,1.6,3.4,4.0,0.2,0.4,1.1,0.6
106,Carlos Boozer,2003.0,Duke,PF,18.2,8.7,1.1,0.9,0.6,1.9,10.0,7.5,1.3,0.7,0.6,1.3
109,Lonny Baxter,2003.0,Maryland,C,15.2,8.2,0.8,0.9,2.0,2.2,4.8,3.0,0.3,0.2,0.4,0.8
111,Matt Barnes,2004.0,UCLA,SF,13.5,6.2,3.5,1.1,0.3,2.8,4.5,4.0,1.3,0.7,0.1,1.2
112,Jamal Sampson,2003.0,California,PF,6.4,6.5,1.2,0.5,1.7,1.7,0.0,0.4,0.2,0.2,0.0,0.0
113,Chris Owens,2003.0,Texas,SF,15.8,7.4,0.8,0.7,1.9,1.7,4.0,1.0,0.0,0.0,0.0,1.0
114,Darius Songaila,2004.0,Wake Forest,PF,17.9,8.1,2.6,1.3,0.8,3.5,4.6,3.1,0.7,0.6,0.2,0.6
116,Rasual Butler,2003.0,La Salle,SG,20.9,8.8,1.4,1.3,1.3,2.6,7.5,2.6,1.3,0.3,0.6,1.1
117,Tamar Slay,2003.0,Marshall,SG,18.9,5.4,2.4,1.6,0.5,3.0,2.6,0.9,0.4,0.4,0.1,0.6
118,Randy Holcomb,2006.0,San Diego State,SF,16.9,9.0,1.7,0.7,1.0,3.5,0.5,0.3,0.0,0.0,0.0,0.0
119,Corsley Edwards,2005.0,Central Connecticut,C,15.4,8.7,1.0,1.4,1.5,2.2,2.7,2.5,0.3,0.3,0.4,0.2
120,Carmelo Anthony,2004.0,Syracuse,SF,22.2,10.0,2.2,1.6,0.9,2.2,21.0,6.1,2.8,1.2,0.5,3.0
121,Chris Bosh,2004.0,Georgia Tech,C,15.6,9.0,1.2,1.0,2.2,2.3,11.5,7.4,1.0,0.8,1.4,1.4
122,Dwyane Wade,2004.0,Marquette,PG,21.5,6.3,4.4,2.2,1.3,3.2,16.2,4.0,4.5,1.4,0.6,3.2
123,Chris Kaman,2004.0,Central Michigan,C,22.4,12.0,1.2,0.6,3.2,4.4,6.1,5.6,1.0,0.3,0.9,1.9
124,Kirk Hinrich,2004.0,Kansas,PG,17.3,3.8,3.5,1.9,0.4,2.2,12.0,3.4,6.8,1.3,0.3,2.7
125,Mike Sweetney,2004.0,Georgetown,PF,22.8,10.4,1.9,1.5,3.2,2.1,4.3,3.7,0.3,0.4,0.3,0.8
126,Jarvis Hayes,2004.0,Georgia,SF,18.3,4.4,2.0,1.1,0.4,1.4,9.6,3.8,1.5,1.0,0.2,1.6
127,Nick Collison,2005.0,Kansas,C,18.5,10.0,2.2,1.2,1.9,2.4,5.6,4.6,0.4,0.4,0.6,0.8
128,Marcus Banks,2004.0,UNLV,PG,20.3,3.3,5.5,2.8,0.1,3.9,5.9,1.6,2.2,1.1,0.2,1.5
