,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Draft Position,Position Type
536,Gorgui Dieng,2014.0,Louisville,33,31.1,3.8,7.1,.534,3.8,7.1,.534,0.0,0.0,,2.2,3.4,.652,9.8,9.4,2.0,1.3,2.5,1.8,2.6,MIN,4.8,5.0,0.7,0.5,0.8,0.9,21,C
537,Mason Plumlee,2014.0,Duke,36,34.7,6.1,10.3,.599,6.1,10.3,.599,0.0,0.0,,4.8,7.1,.681,17.1,9.9,1.9,1.0,1.4,2.9,2.6,BRK,7.4,4.4,0.9,0.7,0.8,1.1,22,C
538,Solomon Hill,2014.0,Arizona,35,33.0,4.5,9.9,.458,2.9,5.7,.508,1.6,4.2,.390,2.7,3.5,.766,13.4,5.3,2.7,1.1,0.6,2.2,2.2,IND,1.7,1.5,0.4,0.2,0.1,0.5,23,SF
539,Andre Roberson,2014.0,Colorado,31,33.4,4.3,8.9,.480,3.6,7.0,.521,0.6,1.9,.328,1.7,3.2,.551,10.9,11.2,1.4,2.2,1.3,2.4,2.5,OKC,1.9,2.4,0.4,0.5,0.3,0.5,26,SG
540,Archie Goodwin,2014.0,Kentucky,33,31.8,4.8,10.8,.440,4.2,8.9,.478,0.5,1.9,.266,4.1,6.4,.637,14.1,4.6,2.7,1.1,0.5,3.1,2.9,PHO,3.7,1.7,0.4,0.4,0.2,0.8,29,SG
541,Allen Crabbe,2014.0,California,33,36.2,6.5,14.2,.459,4.6,8.6,.532,1.9,5.6,.348,3.4,4.2,.813,18.4,6.1,2.6,1.1,0.7,2.5,2.1,POR,2.2,0.6,0.4,0.1,0.1,0.2,31,SG
542,Carrick Felix,2014.0,Arizona State,35,35.3,5.4,10.8,.500,3.9,6.8,.573,1.5,4.0,.374,2.3,3.5,.664,14.6,8.1,1.6,1.4,1.1,2.0,3.0,CLE,2.7,0.9,0.6,0.0,0.0,0.6,33,SG
543,Isaiah Canaan,2014.0,Murray State,31,36.5,6.9,16.1,.431,3.9,7.9,.494,3.0,8.2,.370,4.9,6.0,.822,21.8,3.5,4.3,1.5,0.1,3.2,1.9,HOU,4.6,1.1,1.0,0.4,0.2,1.0,34,PG
544,Nate Wolters,2014.0,South Dakota State,33,38.1,7.3,15.1,.485,5.4,10.0,.539,1.9,5.1,.379,5.7,7.0,.813,22.3,5.6,5.8,1.7,0.1,2.3,1.5,MIL,7.2,2.6,3.2,0.6,0.3,1.0,38,PG
545,Jeff Withey,2014.0,Kansas,37,30.9,5.0,8.6,.582,5.0,8.6,.580,0.0,0.0,1.000,3.7,5.2,.714,13.7,8.5,0.9,0.8,3.9,2.0,2.1,NOP,3.3,2.6,0.4,0.3,0.9,0.3,39,C
546,Grant Jerrett,2015.0,Arizona,34,17.8,1.9,4.5,.409,0.9,2.2,.413,0.9,2.3,.405,0.5,0.6,.818,5.2,3.6,0.5,0.5,1.0,0.6,1.3,TOT,2.0,1.1,0.4,0.3,0.3,0.4,40,PF
547,Jamaal Franklin,2014.0,San Diego State,32,33.1,5.2,12.5,.411,3.9,7.9,.492,1.3,4.6,.272,5.3,6.8,.781,16.9,9.5,3.3,1.6,0.8,3.4,2.6,MEM,1.9,1.1,0.3,0.2,0.1,0.5,41,SG
548,Pierre Jackson,2017.0,Baylor,36,34.8,6.0,14.1,.427,3.6,7.3,.490,2.4,6.8,.359,5.3,6.7,.800,19.8,3.8,7.1,1.5,0.0,3.4,2.2,DAL,4.4,1.1,2.4,0.3,0.0,0.4,42,PG
549,Mike Muscala,2014.0,Bucknell,34,31.7,6.7,13.1,.509,6.6,12.6,.519,0.1,0.5,.250,5.3,6.7,.789,18.7,11.1,2.3,0.5,2.4,1.7,2.2,ATL,3.8,2.6,0.4,0.2,0.5,0.6,44,PF
550,Erick Green,2015.0,Virginia Tech,32,36.4,8.2,17.2,.475,6.3,12.3,.509,1.9,4.9,.389,6.8,8.3,.816,25.0,4.0,3.8,1.3,0.2,2.2,1.4,DEN,3.4,0.7,0.9,0.3,0.0,0.3,46,PG
551,Erik Murphy,2014.0,Florida,36,26.4,4.6,8.8,.516,2.6,4.4,.579,2.0,4.4,.453,1.1,1.4,.784,12.2,5.5,1.4,0.6,0.7,1.4,2.8,CHI,0.3,0.3,0.1,0.0,0.2,0.1,49,C
552,James Ennis,2015.0,Long Beach State,33,33.1,5.5,11.2,.491,3.8,6.6,.585,1.7,4.7,.357,3.8,4.6,.834,16.5,6.7,2.1,1.8,1.3,3.0,2.3,MIA,5.0,2.8,0.8,0.4,0.3,0.6,50,SF
554,Lorenzo Brown,2014.0,NC State,33,34.2,4.2,10.1,.419,3.6,7.8,.465,0.6,2.3,.263,3.3,4.2,.771,12.4,4.3,7.2,2.0,0.6,3.5,2.0,PHI,2.5,1.1,1.6,0.5,0.1,0.6,52,PG
557,Peyton Siva,2014.0,Louisville,40,31.2,3.5,8.6,.404,2.5,5.3,.476,1.0,3.3,.288,2.1,2.5,.867,10.0,2.4,5.7,2.3,0.2,2.7,2.6,DET,2.3,0.6,1.4,0.4,0.0,0.8,56,SG
560,Andrew Wiggins,2015.0,Kansas,35,32.8,5.4,12.1,.448,4.2,8.5,.493,1.2,3.6,.341,5.0,6.5,.775,17.1,5.9,1.5,1.2,1.0,2.3,2.7,MIN,16.9,4.6,2.1,1.0,0.6,2.2,1,SF
561,Jabari Parker,2015.0,Duke,35,30.7,6.7,14.3,.473,5.7,11.2,.504,1.1,3.0,.358,4.6,6.1,.748,19.1,8.7,1.2,1.1,1.2,2.3,2.4,MIL,12.3,5.5,1.7,1.2,0.2,1.9,2,PF
562,Joel Embiid,2017.0,Kansas,28,23.1,3.8,6.1,.626,3.8,5.9,.639,0.0,0.2,.200,3.5,5.1,.685,11.2,8.1,1.4,0.9,2.6,2.4,3.4,PHI,20.2,7.8,2.1,0.9,2.5,3.8,3,C
563,Aaron Gordon,2015.0,Arizona,38,31.2,5.0,10.1,.495,4.6,8.9,.513,0.4,1.2,.356,2.0,4.7,.422,12.4,8.0,2.0,0.9,1.0,1.4,2.4,ORL,5.2,3.6,0.7,0.4,0.5,0.8,4,PF
564,Marcus Smart,2015.0,Oklahoma State,31,32.7,5.3,12.5,.422,3.7,7.2,.514,1.6,5.3,.299,5.9,8.1,.728,18.0,5.9,4.8,2.9,0.6,2.6,2.9,BOS,7.8,3.3,3.1,1.5,0.3,1.3,6,PG
565,Julius Randle,2015.0,Kentucky,40,30.8,4.9,9.8,.501,4.8,9.3,.517,0.1,0.5,.167,5.1,7.2,.706,15.0,10.4,1.4,0.5,0.8,2.5,2.3,LAL,2.0,0.0,0.0,0.0,0.0,1.0,7,PF
566,Nik Stauskas,2015.0,Michigan,36,35.6,5.1,10.9,.470,2.6,5.2,.500,2.6,5.8,.442,4.7,5.7,.824,17.5,2.9,3.3,0.6,0.3,1.9,1.3,SAC,4.4,1.2,0.9,0.3,0.2,0.5,8,SG
567,Noah Vonleh,2015.0,Indiana,30,26.5,3.8,7.2,.523,3.2,6.1,.530,0.5,1.1,.485,3.2,4.5,.716,11.3,9.0,0.6,0.9,1.4,2.1,2.7,CHO,3.3,3.4,0.2,0.2,0.4,0.4,9,PF
568,Elfrid Payton,2015.0,Louisiana,35,35.9,6.8,13.3,.509,6.4,11.8,.541,0.4,1.5,.259,5.3,8.6,.609,19.2,6.0,5.9,2.3,0.6,3.6,2.4,ORL,8.9,4.3,6.5,1.7,0.2,2.5,10,PG
569,Doug McDermott,2015.0,Creighton,35,33.7,9.4,17.9,.526,6.7,11.8,.567,2.7,6.1,.449,5.1,5.9,.864,26.7,7.0,1.6,0.2,0.1,1.8,1.9,CHI,3.0,1.2,0.2,0.1,0.0,0.5,11,SF
570,Zach LaVine,2015.0,UCLA,37,24.4,3.4,7.8,.441,2.1,4.3,.494,1.3,3.5,.375,1.3,1.8,.691,9.4,2.5,1.8,0.9,0.2,1.1,2.0,MIN,10.1,2.8,3.6,0.7,0.1,2.5,13,PG
571,Adreian Payne,2015.0,Michigan State,31,28.1,5.7,11.4,.503,4.3,8.1,.536,1.4,3.4,.423,3.5,4.5,.790,16.4,7.3,1.3,0.5,0.9,2.0,2.6,TOT,6.7,5.1,0.9,0.6,0.3,1.4,15,PF
572,James Young,2015.0,Kentucky,40,32.4,4.6,11.3,.407,2.5,5.4,.470,2.1,5.9,.349,3.1,4.4,.706,14.3,4.3,1.7,0.8,0.2,1.9,2.1,BOS,3.4,1.4,0.4,0.3,0.1,0.2,17,SG
573,Tyler Ennis,2015.0,Syracuse,34,35.7,4.4,10.6,.411,3.5,8.1,.429,0.9,2.5,.353,3.4,4.4,.765,12.9,3.4,5.5,2.1,0.2,1.7,2.0,TOT,3.7,1.1,2.2,0.5,0.2,1.3,18,PG
574,Gary Harris,2015.0,Michigan State,35,32.3,5.6,13.0,.429,3.3,6.4,.507,2.3,6.6,.352,3.3,4.1,.810,16.7,4.0,2.7,1.8,0.4,1.7,2.1,DEN,3.4,1.2,0.5,0.7,0.1,0.7,19,SG
575,Mitch McGary,2015.0,Michigan,8,24.8,3.8,6.9,.545,3.8,6.6,.566,0.0,0.3,.000,2.0,3.0,.667,9.5,8.3,1.5,1.9,0.8,1.6,3.1,OKC,6.3,5.2,0.4,0.5,0.5,1.0,21,PF
576,Jordan Adams,2015.0,UCLA,36,30.1,5.8,11.9,.485,4.3,7.9,.551,1.4,4.1,.356,4.4,5.3,.836,17.4,5.3,2.3,2.6,0.1,1.5,2.2,MEM,3.1,0.9,0.5,0.5,0.2,0.5,22,SG
577,Rodney Hood,2015.0,Duke,35,32.9,5.5,11.8,.464,3.4,6.9,.494,2.0,4.8,.420,3.1,3.9,.807,16.1,3.9,2.1,0.7,0.3,1.5,2.6,UTA,8.7,2.3,1.7,0.6,0.2,0.9,23,SG
578,Shabazz Napier,2015.0,UConn,40,35.1,5.3,12.4,.429,3.2,7.0,.448,2.2,5.4,.405,5.2,6.0,.870,18.0,5.9,4.9,1.8,0.3,2.9,2.1,MIA,5.1,2.2,2.5,0.8,0.1,1.6,24,PG
579,Josh Huestis,2016.0,Stanford,36,35.2,4.3,9.6,.451,3.6,7.5,.483,0.7,2.1,.338,1.8,2.8,.627,11.2,8.2,1.2,0.6,1.9,1.2,2.1,OKC,2.8,2.0,0.0,0.2,0.4,0.6,29,PF
580,Cleanthony Early,2015.0,Wichita State,36,27.4,5.2,10.7,.484,3.4,5.8,.579,1.8,4.9,.373,4.2,5.0,.844,16.4,5.9,0.8,0.8,0.8,1.9,2.3,NYK,5.4,2.5,0.9,0.6,0.3,1.0,34,SF
581,Jarnell Stokes,2015.0,Tennessee,37,32.4,5.4,10.1,.531,5.4,10.1,.531,0.0,0.0,,4.3,6.2,.696,15.1,10.6,2.0,0.7,0.9,2.1,2.0,MEM,3.0,1.8,0.2,0.3,0.3,0.4,35,PF
583,Spencer Dinwiddie,2015.0,Colorado,17,31.1,3.6,7.7,.466,2.1,4.0,.515,1.5,3.7,.413,6.0,7.0,.857,14.7,3.1,3.8,1.5,0.2,1.8,1.9,DET,4.3,1.4,3.1,0.6,0.2,1.0,38,PG
584,Jerami Grant,2015.0,Syracuse,32,31.4,4.2,8.4,.496,4.2,8.2,.506,0.0,0.2,.000,3.8,5.6,.674,12.1,6.8,1.4,0.8,0.6,1.2,2.3,PHI,6.3,3.0,1.2,0.6,1.0,1.3,39,SF
585,Nick Johnson,2015.0,Arizona,38,33.1,5.4,12.5,.432,3.8,8.0,.469,1.6,4.4,.367,3.8,4.9,.781,16.3,4.1,2.8,1.1,0.7,1.7,2.0,HOU,2.6,1.4,0.4,0.3,0.1,0.7,42,SG
586,Markel Brown,2015.0,Oklahoma State,34,35.3,5.6,11.8,.473,4.0,7.6,.525,1.6,4.3,.379,4.4,5.7,.768,17.2,5.3,2.9,1.0,1.0,1.6,2.5,BRK,4.6,2.3,0.8,0.7,0.3,0.6,44,SG
587,Dwight Powell,2015.0,Stanford,36,32.4,4.9,10.5,.462,4.6,9.4,.485,0.3,1.1,.256,4.0,5.9,.687,14.0,6.9,3.1,1.3,0.8,2.9,3.1,TOT,3.1,1.7,0.3,0.3,0.2,0.4,45,PF
588,Jordan Clarkson,2015.0,Missouri,35,35.1,6.0,13.3,.448,5.1,10.1,.501,0.9,3.3,.281,4.6,5.6,.831,17.5,3.8,3.4,1.1,0.2,2.7,2.2,LAL,11.9,3.2,3.5,0.9,0.2,1.6,46,PG
589,Russ Smith,2015.0,Louisville,37,29.3,6.1,13.0,.468,4.2,8.1,.517,1.9,4.9,.387,4.1,5.9,.705,18.2,3.3,4.6,2.0,0.1,2.8,2.5,TOT,2.5,0.5,0.7,0.3,0.0,1.0,47,PG
590,Lamar Patterson,2016.0,Pitt,36,32.6,5.6,12.7,.441,3.4,7.0,.484,2.2,5.7,.388,3.7,4.9,.754,17.1,4.9,4.3,1.4,0.3,2.6,2.0,ATL,2.4,1.4,1.1,0.3,0.1,0.7,48,SG
591,Cameron Bairstow,2015.0,New Mexico,34,32.9,7.0,12.5,.556,6.9,12.4,.558,0.0,0.1,.333,6.4,8.8,.735,20.4,7.4,1.6,0.6,1.5,2.0,2.1,CHI,0.6,0.4,0.1,0.1,0.1,0.2,49,PF
593,Semaj Christon,2017.0,Xavier,34,35.3,5.9,12.4,.479,5.4,10.9,.491,0.6,1.4,.388,4.6,6.9,.668,17.0,2.7,4.2,1.3,0.2,2.6,2.1,OKC,2.9,1.4,2.0,0.4,0.1,0.7,55,PG
594,Jordan McRae,2016.0,Tennessee,37,32.2,6.0,13.8,.436,3.9,7.8,.502,2.1,6.1,.351,4.5,5.7,.788,18.7,3.5,2.5,0.7,1.0,2.1,2.1,TOT,4.5,0.9,1.1,0.1,0.0,0.7,58,PG
596,Cory Jefferson,2015.0,Baylor,38,29.0,4.8,9.7,.500,4.5,8.7,.515,0.4,1.0,.368,3.6,5.6,.640,13.7,8.2,1.0,0.4,1.3,1.3,2.2,BRK,3.7,2.9,0.3,0.2,0.4,0.4,60,PF
597,Karl-Anthony Towns,2016.0,Kentucky,39,21.1,3.7,6.6,.566,3.7,6.4,.577,0.1,0.2,.250,2.8,3.4,.813,10.3,6.7,1.1,0.5,2.3,1.4,2.9,MIN,18.3,10.5,2.0,0.7,1.7,2.2,1,C
598,Jahlil Okafor,2016.0,Duke,38,30.1,7.3,11.1,.664,7.3,11.1,.664,0.0,0.0,,2.6,5.1,.510,17.3,8.5,1.3,0.8,1.4,2.5,2.1,PHI,17.5,7.0,1.2,0.4,1.2,2.3,3,C
599,Willie Cauley-Stein,2016.0,Kentucky,39,25.9,3.5,6.1,.572,3.5,6.1,.572,0.0,0.0,,2.0,3.3,.617,8.9,6.4,1.0,1.2,1.7,1.2,2.0,SAC,7.0,5.3,0.6,0.7,1.0,0.7,6,C
600,Stanley Johnson,2016.0,Arizona,38,28.4,4.6,10.3,.446,3.4,7.2,.478,1.1,3.1,.371,3.5,4.7,.742,13.8,6.5,1.7,1.5,0.4,2.2,2.6,DET,8.1,4.2,1.6,0.8,0.2,1.6,8,SF
601,Frank Kaminsky,2016.0,Wisconsin,39,33.6,6.8,12.5,.547,5.8,9.9,.581,1.1,2.6,.416,4.0,5.1,.780,18.8,8.2,2.6,0.8,1.5,1.6,1.7,CHO,7.5,4.1,1.2,0.5,0.5,0.7,9,C
602,Justise Winslow,2016.0,Duke,39,29.1,4.4,9.1,.486,3.3,6.3,.516,1.2,2.8,.418,2.6,4.0,.641,12.6,6.5,2.1,1.3,0.9,1.8,2.8,MIA,6.4,5.2,1.5,0.9,0.3,1.2,10,SF
603,Myles Turner,2016.0,Texas,34,22.2,3.4,7.6,.455,2.9,5.7,.513,0.5,1.8,.274,2.8,3.3,.839,10.1,6.5,0.6,0.3,2.6,1.4,2.4,IND,10.3,5.5,0.7,0.4,1.4,1.1,11,C
604,Trey Lyles,2016.0,Kentucky,36,23.0,3.3,6.7,.488,3.1,5.9,.536,0.1,0.8,.138,2.1,2.8,.735,8.7,5.2,1.1,0.5,0.4,1.1,1.6,UTA,6.1,3.7,0.7,0.3,0.2,0.8,12,PF
605,Cameron Payne,2016.0,Murray State,35,32.2,7.0,15.3,.456,4.6,9.0,.513,2.4,6.4,.377,3.8,4.8,.787,20.2,3.7,6.0,1.9,0.5,2.5,2.1,OKC,5.0,1.5,1.9,0.6,0.1,0.8,14,PG
606,Kelly Oubre,2016.0,Kansas,36,21.0,3.1,6.9,.444,2.1,4.3,.497,0.9,2.6,.358,2.2,3.1,.718,9.3,5.0,0.8,1.1,0.4,1.2,2.0,WAS,3.7,2.1,0.2,0.3,0.1,0.5,15,SF
607,Terry Rozier,2016.0,Louisville,36,35.0,5.9,14.5,.411,4.6,10.1,.456,1.3,4.4,.306,3.9,4.9,.790,17.1,5.6,3.0,2.0,0.2,2.2,1.7,BOS,1.8,1.6,0.9,0.2,0.0,0.5,16,PG
608,Rashad Vaughn,2016.0,UNLV,23,32.3,6.3,14.3,.439,3.9,8.1,.481,2.3,6.1,.383,3.0,4.3,.694,17.8,4.8,1.6,0.8,0.3,2.2,2.3,MIL,3.1,1.3,0.6,0.4,0.2,0.4,17,SG
609,Sam Dekker,2016.0,Wisconsin,40,31.0,5.3,10.2,.525,4.1,6.4,.639,1.3,3.8,.331,2.0,2.8,.708,13.9,5.5,1.2,0.5,0.5,0.9,1.1,HOU,0.0,0.3,0.0,0.3,0.0,0.0,18,PF
610,Jerian Grant,2016.0,Notre Dame,38,37.1,5.4,11.2,.478,4.1,7.1,.572,1.3,4.2,.316,4.5,5.7,.780,16.5,3.0,6.7,1.7,0.5,2.2,2.0,NYK,5.6,1.9,2.3,0.7,0.1,1.1,19,PG
611,Delon Wright,2016.0,Utah,35,33.3,4.7,9.3,.509,4.0,7.2,.554,0.7,2.1,.356,4.4,5.2,.836,14.5,4.9,5.1,2.1,1.0,1.9,1.4,TOR,3.8,1.4,1.1,0.3,0.1,0.6,20,PG
612,Justin Anderson,2016.0,Virginia,26,27.8,4.0,8.5,.466,2.2,4.5,.479,1.8,4.0,.452,2.5,3.2,.780,12.2,4.0,1.7,0.7,0.5,1.2,1.2,DAL,3.8,2.4,0.5,0.3,0.5,0.4,21,SF
613,Bobby Portis,2016.0,Arkansas,36,29.9,6.9,12.9,.536,6.6,12.1,.541,0.4,0.8,.467,3.2,4.3,.737,17.5,8.9,1.2,1.1,1.4,1.6,2.2,CHI,7.0,5.4,0.8,0.4,0.4,0.9,22,PF
614,Rondae Hollis-Jefferson,2016.0,Arizona,38,28.7,3.6,7.2,.502,3.5,6.5,.537,0.2,0.8,.207,3.8,5.4,.707,11.2,6.8,1.6,1.2,0.8,1.6,2.5,BRK,5.8,5.3,1.5,1.3,0.6,0.9,23,SF
615,Tyus Jones,2016.0,Duke,39,33.9,3.5,8.3,.417,2.3,5.1,.440,1.2,3.2,.379,3.7,4.2,.889,11.8,3.5,5.6,1.5,0.1,1.9,1.2,MIN,4.2,1.3,2.9,0.8,0.1,0.9,24,PG
616,Jarell Martin,2016.0,LSU,33,35.1,6.1,12.0,.509,5.7,10.5,.545,0.4,1.6,.269,4.2,6.2,.690,16.9,9.2,1.8,1.2,0.7,2.8,2.8,MEM,5.7,3.2,0.6,0.3,0.3,0.7,25,PF
617,Chris McCullough,2016.0,Syracuse,16,28.1,3.4,7.1,.478,3.3,7.0,.473,0.1,0.1,1.000,2.5,4.4,.563,9.3,6.9,1.1,1.7,2.1,2.2,2.6,BRK,4.7,2.8,0.4,1.2,0.5,0.6,29,PF
618,Kevon Looney,2016.0,UCLA,36,30.9,4.2,8.9,.470,3.6,7.4,.481,0.6,1.5,.415,2.6,4.1,.626,11.6,9.2,1.4,1.3,0.9,1.3,2.9,GSW,1.8,2.0,0.0,0.0,0.0,0.2,30,PF
619,Montrezl Harrell,2016.0,Louisville,35,35.1,6.1,10.7,.566,5.8,9.7,.602,0.3,1.1,.243,3.3,5.5,.597,15.7,9.2,1.4,0.9,1.2,2.0,2.1,HOU,3.6,1.7,0.4,0.3,0.3,0.4,32,PF
620,Jordan Mickey,2016.0,LSU,31,34.9,6.2,12.2,.504,6.1,11.9,.514,0.0,0.3,.111,3.1,4.7,.646,15.4,9.9,1.3,0.9,3.6,3.3,2.6,BOS,1.3,0.8,0.1,0.0,0.7,0.1,33,PF
621,Rakeem Christmas,2016.0,Syracuse,31,34.3,6.5,11.9,.552,6.5,11.8,.553,0.0,0.0,.000,4.4,6.2,.712,17.5,9.1,1.5,0.9,2.5,2.5,3.4,IND,4.0,1.0,0.0,0.0,0.0,0.0,36,PF
622,Richaun Holmes,2016.0,Bowling Green State,31,28.8,5.3,9.5,.563,4.7,8.1,.588,0.6,1.4,.419,3.5,4.9,.712,14.7,8.0,0.8,0.7,2.7,1.9,2.5,PHI,5.6,2.6,0.6,0.4,0.8,0.6,37,PF
623,Darrun Hilliard,2016.0,Villanova,35,28.8,4.9,11.0,.440,2.6,5.2,.500,2.3,5.8,.387,2.3,2.9,.796,14.3,3.1,2.1,1.8,0.3,1.2,2.2,DET,4.0,1.2,0.7,0.2,0.0,0.5,38,SG
624,Pat Connaughton,2016.0,Notre Dame,38,35.6,4.4,9.4,.466,1.9,3.6,.537,2.4,5.8,.423,1.3,1.7,.781,12.5,7.4,1.5,0.7,0.9,1.2,2.0,POR,1.1,0.9,0.3,0.1,0.0,0.3,41,SG
626,Andrew Harrison,2017.0,Kentucky,39,25.5,2.6,6.8,.378,1.7,4.4,.376,0.9,2.4,.383,3.2,4.1,.792,9.3,2.2,3.6,1.0,0.2,1.6,1.8,MEM,5.9,1.9,2.8,0.7,0.3,1.2,44,PG
627,Norman Powell,2016.0,UCLA,36,34.6,5.9,13.0,.456,4.9,9.7,.503,1.1,3.3,.319,3.5,4.7,.751,16.4,4.7,2.1,1.8,0.4,2.2,2.5,TOR,5.6,2.3,1.0,0.6,0.2,0.7,46,SG
628,Dakari Johnson,2018.0,Kentucky,39,16.3,2.0,4.0,.506,2.0,4.0,.506,0.0,0.0,,2.3,3.7,.625,6.4,4.6,0.7,0.4,0.9,1.1,1.8,OKC,1.8,1.1,0.3,0.2,0.3,0.1,48,C
631,Branden Dawson,2016.0,Michigan State,35,30.1,5.2,9.7,.535,5.2,9.7,.535,0.0,0.0,,1.5,3.0,.490,11.9,9.1,1.7,1.2,1.7,1.9,2.1,LAC,0.8,0.7,0.0,0.0,0.2,0.0,56,PF
632,Ben Simmons,2018.0,LSU,33,34.9,6.5,11.7,.560,6.5,11.6,.561,0.0,0.1,.333,6.0,9.0,.670,19.2,11.8,4.8,2.0,0.8,3.4,2.8,PHI,15.8,8.1,8.2,1.7,0.9,3.4,1,PG
633,Brandon Ingram,2017.0,Duke,36,34.6,5.9,13.4,.442,3.7,8.0,.464,2.2,5.4,.410,3.2,4.7,.682,17.3,6.8,2.0,1.1,1.4,2.0,2.1,LAL,9.4,4.0,2.1,0.6,0.5,1.5,2,SF
634,Jaylen Brown,2017.0,California,34,27.6,4.8,11.1,.431,3.9,8.1,.482,0.9,3.0,.294,4.2,6.4,.654,14.6,5.4,2.0,0.8,0.6,3.1,3.2,BOS,6.6,2.8,0.8,0.4,0.2,0.9,3,SF
635,Kris Dunn,2017.0,Providence,33,33.0,5.6,12.5,.448,4.3,9.0,.477,1.3,3.4,.372,4.0,5.8,.695,16.4,5.3,6.2,2.5,0.6,3.5,2.8,MIN,3.8,2.1,2.4,1.0,0.5,1.1,5,PG
636,Buddy Hield,2017.0,Oklahoma,37,35.4,8.1,16.2,.501,4.2,7.5,.552,4.0,8.7,.457,4.8,5.4,.880,25.0,5.7,2.0,1.1,0.5,3.1,2.1,TOT,10.6,3.3,1.5,0.5,0.1,1.2,6,SG
637,Jamal Murray,2017.0,Kentucky,36,35.2,6.8,14.9,.454,3.6,7.3,.502,3.1,7.7,.408,3.3,4.2,.783,20.0,5.2,2.2,1.0,0.3,2.3,2.1,DEN,9.9,2.6,2.1,0.6,0.3,1.4,7,SG
638,Marquese Chriss,2017.0,Washington,34,24.9,5.3,9.9,.530,4.6,8.2,.568,0.6,1.8,.350,2.6,3.8,.682,13.7,5.4,0.8,0.9,1.6,2.0,4.1,PHO,9.2,4.2,0.7,0.8,0.9,1.3,8,PF
639,Domantas Sabonis,2017.0,Gonzaga,36,31.9,6.6,10.9,.611,6.5,10.5,.621,0.1,0.4,.357,4.2,5.4,.769,17.6,11.8,1.8,0.6,0.9,2.6,3.2,OKC,5.9,3.6,1.0,0.5,0.4,1.0,11,PF
640,Denzel Valentine,2017.0,Michigan State,31,33.0,6.6,14.3,.462,3.3,6.8,.481,3.4,7.5,.444,2.6,3.1,.853,19.2,7.5,7.8,1.0,0.2,2.7,1.7,CHI,5.1,2.6,1.1,0.5,0.1,0.9,14,SG
641,Wade Baldwin,2017.0,Vanderbilt,33,30.4,4.1,9.6,.427,2.8,6.5,.437,1.2,3.1,.406,4.7,5.9,.799,14.1,4.0,5.2,1.2,0.3,2.8,2.6,MEM,3.2,1.4,1.8,0.5,0.2,1.2,17,PG
642,Henry Ellenson,2017.0,Marquette,33,33.5,5.9,13.2,.446,5.0,10.0,.495,0.9,3.2,.288,4.3,5.8,.749,17.0,9.7,1.8,0.8,1.5,2.4,2.5,DET,3.2,2.2,0.4,0.1,0.1,0.7,18,PF
643,Malik Beasley,2017.0,Florida State,34,29.8,5.4,11.6,.471,3.8,7.4,.518,1.6,4.2,.387,3.1,3.8,.813,15.6,5.3,1.5,0.9,0.2,1.7,2.2,DEN,3.8,0.8,0.5,0.3,0.0,0.4,19,SG
644,Caris LeVert,2017.0,Michigan,15,30.9,5.5,10.8,.506,3.5,6.5,.546,1.9,4.3,.446,3.6,4.5,.794,16.5,5.3,4.9,1.0,0.2,1.7,1.2,BRK,8.2,3.3,1.9,0.9,0.1,1.0,20,SF
645,Malachi Richardson,2017.0,Syracuse,37,34.4,4.1,11.1,.369,2.0,5.1,.388,2.1,6.1,.353,3.1,4.2,.720,13.4,4.3,2.1,1.1,0.3,2.1,2.5,SAC,3.6,1.0,0.5,0.2,0.0,0.4,22,SG
646,Brice Johnson,2017.0,UNC,40,28.0,7.2,11.6,.617,7.2,11.6,.617,0.0,0.0,,3.9,4.9,.794,18.2,10.4,1.5,1.1,1.5,1.8,2.7,LAC,1.3,1.0,0.3,0.7,0.3,0.3,25,PF
647,Pascal Siakam,2017.0,New Mexico State,34,34.6,8.1,15.0,.539,8.0,14.6,.549,0.1,0.4,.200,4.0,5.9,.678,20.3,11.6,1.7,1.0,2.2,2.0,2.7,TOR,4.2,3.4,0.3,0.5,0.8,0.6,27,PF
648,Dejounte Murray,2017.0,Washington,34,33.5,5.9,14.3,.416,4.9,10.8,.457,1.0,3.5,.288,3.2,4.9,.663,16.1,6.0,4.4,1.8,0.3,3.2,2.6,SAS,3.4,1.1,1.3,0.2,0.2,1.0,29,PG
649,Damian Jones,2017.0,Vanderbilt,33,26.2,5.6,9.5,.590,5.6,9.4,.595,0.0,0.1,.000,2.7,5.1,.536,13.9,6.9,1.2,0.2,1.6,2.0,3.3,GSW,1.9,2.3,0.0,0.1,0.4,0.6,30,C
650,Deyonta Davis,2017.0,Michigan State,35,18.6,3.4,5.7,.598,3.4,5.7,.598,0.0,0.0,,0.7,1.1,.605,7.5,5.5,0.7,0.3,1.8,0.9,2.3,MEM,1.6,1.7,0.1,0.1,0.5,0.2,31,C
651,Cheick Diallo,2017.0,Kansas,27,7.5,1.2,2.1,.569,1.2,2.1,.569,0.0,0.0,,0.6,1.0,.556,3.0,2.5,0.0,0.3,0.9,0.6,1.4,NOP,5.1,4.3,0.2,0.2,0.4,0.4,33,PF
