,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Draft Position,Position Type
475,Isaiah Thomas,2012.0,Washington,35,31.9,5.4,12.1,.445,3.7,7.1,.512,1.7,4.9,.349,4.3,6.0,.719,16.8,3.5,6.1,1.3,0.1,3.0,2.1,SAC,11.5,2.6,4.1,0.8,0.1,1.6,60,PG
476,Michael Kidd-Gilchrist,2013.0,Kentucky,40,31.1,4.0,8.2,.491,3.7,6.9,.535,0.3,1.3,.255,3.6,4.8,.745,11.9,7.4,1.9,1.0,0.9,2.2,2.4,CHA,9.0,5.8,1.5,0.7,0.9,1.3,2,SF
477,Bradley Beal,2013.0,Florida,37,34.2,4.7,10.6,.445,3.0,5.6,.541,1.7,5.0,.339,3.6,4.7,.769,14.8,6.7,2.2,1.4,0.8,2.1,2.1,WAS,13.9,3.8,2.4,0.9,0.5,1.6,3,SG
478,Dion Waiters,2013.0,Syracuse,37,24.1,4.6,9.6,.476,3.5,6.6,.529,1.1,3.1,.363,2.3,3.2,.729,12.6,2.3,2.5,1.8,0.3,1.3,1.9,CLE,14.7,2.4,3.0,1.0,0.3,2.0,4,SG
479,Damian Lillard,2013.0,Weber State,32,34.5,7.2,15.5,.467,4.3,8.3,.517,2.9,7.2,.409,7.1,8.0,.887,24.5,5.0,4.0,1.5,0.2,2.3,1.9,POR,19.0,3.1,6.5,0.9,0.2,3.0,6,PG
480,Harrison Barnes,2013.0,UNC,38,29.2,6.0,13.7,.440,4.7,10.1,.469,1.3,3.6,.358,3.7,5.1,.723,17.1,5.2,1.1,1.1,0.3,1.9,1.8,GSW,9.2,4.1,1.2,0.6,0.2,1.2,7,SF
481,Terrence Ross,2013.0,Washington,35,31.1,6.1,13.4,.457,4.1,7.9,.518,2.1,5.5,.371,2.1,2.7,.766,16.4,6.4,1.4,1.3,0.9,2.0,2.8,TOR,6.4,2.0,0.7,0.6,0.2,0.7,8,SG
482,Andre Drummond,2013.0,UConn,34,28.4,4.6,8.6,.538,4.6,8.5,.541,0.0,0.1,.000,0.8,2.6,.295,10.0,7.6,0.4,0.8,2.7,1.5,2.2,DET,7.9,7.6,0.5,1.0,1.6,1.0,9,C
483,Austin Rivers,2013.0,Duke,34,33.2,5.1,11.8,.433,3.4,7.1,.477,1.7,4.7,.365,3.6,5.4,.658,15.5,3.4,2.1,1.0,0.0,2.3,2.2,NOH,6.2,1.8,2.1,0.4,0.1,1.2,10,SG
484,Meyers Leonard,2013.0,Illinois,32,31.8,5.3,9.1,.584,5.3,8.8,.604,0.0,0.3,.091,2.9,4.0,.732,13.6,8.2,1.3,0.5,1.9,2.1,2.9,POR,5.5,3.7,0.5,0.2,0.6,0.7,11,C
