Name,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Position,Hometown,High School,Height,Weight
Terance Mann,Florida State,ACC,37,36,31.7,4.0,7.9,.505,3.2,5.8,.547,0.8,2.1,.390,2.6,3.4,.790,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4,Guard,"Lowell, MA",Tilton School (NH),6-7,215
Chuma Okeke,Auburn,SEC,38,38,29.1,4.4,8.9,.496,3.0,5.2,.574,1.4,3.7,.387,1.7,2.4,.722,2.8,4.1,6.8,1.9,1.8,1.2,1.7,1.9,12.0,Forward,"Atlanta, GA",Westlake High School,6-8,230
Tyler Cook,Iowa,Big Ten,33,33,30.8,5.3,10.3,.510,5.3,10.2,.519,0.0,0.2,.000,3.9,6.1,.644,2.2,5.5,7.6,2.4,0.7,0.5,2.8,2.3,14.5,Forward,"St. Louis, MO",Chaminade College Preparatory School,6-9,250
Isaiah Roby,Nebraska,Big Ten,35,35,31.2,4.2,9.3,.454,3.4,6.9,.496,0.8,2.4,.333,2.6,3.8,.677,1.9,5.0,6.9,1.9,1.3,1.9,2.0,3.2,11.8,Forward,"Dixon, IL",Dixon High School,6-8,230
Tacko Fall,UCF,AAC,33,33,24.9,4.7,6.2,.748,4.7,6.2,.748,0.0,0.0,,1.8,4.9,.362,2.5,5.1,7.6,0.5,0.2,2.6,1.8,2.8,11.1,Center,"Dakar, Senegal",Liberty Christian Prep (FL),7-6,310
Jalen McDaniels,San Diego State,MWC,34,34,31.0,6.2,13.4,.466,5.5,11.2,.495,0.7,2.2,.320,2.7,3.7,.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,Forward,"Federal Way, WA",Federal Way High School,6-10,195
Louis King,Oregon,Pac-12,31,28,30.4,4.8,11.0,.435,2.9,6.0,.476,1.9,4.9,.386,2.0,2.5,.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5,13.5,Forward,"Jersey City, NJ",Hudson Catholic HS,6-9,205
Jordan Bone,Tennessee,SEC,37,37,32.9,5.0,10.8,.465,3.7,7.0,.525,1.4,3.8,.355,2.1,2.5,.835,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,Guard,"Nashville, TN",The Ensworth School,6-3,180
Luguentz Dort,Arizona State,Pac-12,34,33,31.5,5.1,12.6,.405,3.5,7.5,.472,1.6,5.2,.307,4.3,6.1,.700,1.3,3.0,4.3,2.3,1.5,0.2,2.9,3.0,16.1,Guard,"Montreal, Canada",Athlete Institute Basketball Academy,6-4,215
Kris Wilkes,UCLA,Pac-12,33,33,31.7,6.2,14.3,.433,4.1,8.1,.508,2.1,6.2,.337,2.9,4.3,.671,1.2,3.6,4.8,1.7,0.6,0.4,1.9,2.2,17.4,Guard,"Indianapolis, IN",North Central High School,6-8,215
