,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Pick,Position
119,Corsley Edwards,2005,Central Connecticut,32,31,5.6,11,0.504,5.6,11,0.504,0,0,0,4.3,5.6,0.761,15.4,8.7,1,1.4,1.5,2.2,2.4,NOH,2.7,2.5,0.3,0.3,0.4,0.2,57,C
120,Carmelo Anthony,2004,Syracuse,35,36.4,7.9,17.5,0.453,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,22.2,10,2.2,1.6,0.9,2.2,2.2,DEN,21,6.1,2.8,1.2,0.5,3,3,SF
121,Chris Bosh,2004,Georgia Tech,31,31,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,15.6,9,1.2,1,2.2,2.3,2.4,TOR,11.5,7.4,1,0.8,1.4,1.4,4,C
122,Dwyane Wade,2004,Marquette,33,32.1,7.6,15.2,0.501,7.2,13.8,0.519,0.4,1.3,0.318,5.9,7.5,0.779,21.5,6.3,4.4,2.2,1.3,3.2,2.3,MIA,16.2,4,4.5,1.4,0.6,3.2,5,PG
123,Chris Kaman,2004,Central Michigan,31,34,7.9,12.6,0.622,7.9,12.6,0.622,0,0,0,6.6,8.9,0.749,22.4,12,1.2,0.6,3.2,4.4,3.2,LAC,6.1,5.6,1,0.3,0.9,1.9,6,C
124,Kirk Hinrich,2004,Kansas,37,33.5,6.3,13.2,0.475,3.9,7.3,0.532,2.4,5.9,0.406,2.4,3.4,0.704,17.3,3.8,3.5,1.9,0.4,2.2,2.1,CHI,12,3.4,6.8,1.3,0.3,2.7,7,PG
125,Mike Sweetney,2004,Georgetown,34,32.4,7.8,14.2,0.547,7.8,14.1,0.55,0,0.1,0,7.3,9.9,0.738,22.8,10.4,1.9,1.5,3.2,2.1,2.8,NYK,4.3,3.7,0.3,0.4,0.3,0.8,9,PF
126,Jarvis Hayes,2004,Georgia,27,32.3,6.9,13.6,0.503,4.9,8.9,0.544,2,4.7,0.425,2.6,3.3,0.784,18.3,4.4,2,1.1,0.4,1.4,2.4,WAS,9.6,3.8,1.5,1,0.2,1.6,10,SF
127,Nick Collison,2005,Kansas,38,32.4,7.4,13.3,0.554,7.1,12.3,0.571,0.3,1,0.342,3.3,5.3,0.635,18.5,10,2.2,1.2,1.9,2.4,2.5,SEA,5.6,4.6,0.4,0.4,0.6,0.8,12,C
128,Marcus Banks,2004,UNLV,32,36.1,7,13.6,0.514,5.7,9.8,0.583,1.3,3.8,0.336,5.1,6.7,0.757,20.3,3.3,5.5,2.8,0.1,3.9,2.7,BOS,5.9,1.6,2.2,1.1,0.2,1.5,13,PG
129,Luke Ridnour,2004,Oregon,33,35.4,6.2,14.2,0.432,3.7,7.8,0.473,2.5,6.4,0.382,4.9,5.6,0.88,19.7,3.4,6.6,1.9,0.1,3.9,2.3,SEA,5.5,1.6,2.4,0.8,0.1,1.2,14,PG
130,Reece Gaines,2004,Louisville,32,32.2,5.5,12,0.462,3.2,6,0.534,2.3,6,0.391,4.5,6.2,0.736,17.9,2.9,5,1.7,0.1,3,2.6,ORL,1.8,1,1.1,0.3,0.1,0.5,15,PG
131,Troy Bell,2004,Boston College,31,38.6,7.2,16.4,0.441,3.8,7.9,0.484,3.4,8.5,0.402,7.3,8.6,0.847,25.2,4.6,3.7,2.3,0.2,2.5,2.1,MEM,1.8,0.7,0.7,0.2,0,1,16,PG
132,David West,2004,Xavier,32,36.5,6.7,13,0.513,6.4,12.2,0.524,0.3,0.8,0.346,6.5,8,0.816,20.1,11.8,3.2,1.3,1.6,2.7,3,NOH,3.8,4.2,0.8,0.4,0.4,0.7,18,PF
133,Dahntay Jones,2004,Duke,33,30.7,6,12.8,0.47,4.6,9.2,0.498,1.4,3.6,0.398,4.2,5.7,0.749,17.7,5.5,0.9,1.2,0.5,1.9,3.1,MEM,1.8,1.2,0.6,0.3,0.3,0.6,20,SG
134,Brian Cook,2004,Illinois,30,31.3,6.7,14.1,0.479,5.8,11.1,0.526,0.9,3,0.303,5.6,6.8,0.82,20,7.6,2,0.7,0.4,2.8,2.9,LAL,4.4,2.9,0.6,0.5,0.5,0.5,24,C
135,Josh Howard,2004,Wake Forest,31,32.3,6.6,13.8,0.477,4.9,9.2,0.528,1.7,4.6,0.373,4.7,5.6,0.833,19.5,8.3,1.9,2.1,1.5,2.6,2.9,DAL,8.6,5.5,1.4,1,0.8,1,29,SF
136,Jason Kapono,2004,UCLA,29,33.4,5.9,12.9,0.457,3.7,7.3,0.502,2.2,5.6,0.398,2.8,3.2,0.88,16.8,5.2,2,0.6,0,2.1,2.2,CLE,3.5,1.3,0.3,0.3,0,0.5,31,SF
137,Luke Walton,2004,Arizona,28,27.6,3.8,9.1,0.42,2.8,6.5,0.434,1,2.6,0.384,2.1,3.1,0.678,10.8,5.6,5.1,0.9,0.3,2.8,2,LAL,2.4,1.8,1.6,0.4,0.1,0.6,32,PF
139,Travis Hansen,2004,BYU,32,32,5.3,12,0.441,4.2,8.7,0.48,1.1,3.3,0.34,5.1,6.4,0.799,16.8,4.8,2.4,0.9,0.6,2.6,3,ATL,3,1.7,0.5,0.2,0.2,0.4,37,SF
140,Steve Blake,2004,Maryland,31,32.5,3.7,8.9,0.415,1.6,3.9,0.413,2.1,5,0.416,2.2,2.7,0.819,11.6,3.7,7.1,1.6,0.2,3.2,1.7,WAS,5.9,1.6,2.8,0.8,0.1,1.7,38,PG
141,Derrick Zimmerman,2006,Mississippi State,31,33,3.2,6.7,0.476,2.7,5,0.538,0.5,1.7,0.288,2,3.1,0.649,8.9,4.2,5.5,1.9,0.8,3.4,2.1,NJN,2,2,3.5,0,0,2,40,PG
142,Willie Green,2004,Detroit,30,34,8.1,16.6,0.49,6.9,13.3,0.519,1.2,3.3,0.374,5.1,6.3,0.805,22.6,4.9,2.5,1.3,0.4,2.3,2.4,PHI,6.9,1.2,1,0.5,0.1,1.1,41,SG
143,Keith Bogans,2004,Kentucky,36,29.7,5.4,11.8,0.456,3.2,6,0.528,2.2,5.8,0.383,2.7,3.6,0.738,15.7,3.8,2.7,1.2,0.1,2.2,1.7,ORL,6.8,4.3,1.3,0.6,0.1,1,43,SF
144,Matt Bonner,2005,Florida,33,31.4,5.5,10.8,0.51,3.6,6.8,0.531,1.9,4,0.474,2.2,3.1,0.733,15.2,6.1,1.5,1.1,0.6,1.6,2.1,TOR,7.2,3.5,0.6,0.5,0.2,0.5,45,C
145,Mo Williams,2004,Alabama,29,35.8,5.5,12.8,0.431,3.6,6.6,0.539,2,6.2,0.317,3.4,4,0.838,16.4,3.9,3.9,1.2,0.2,3,2.1,UTA,5,1.3,1.3,0.5,0,0.9,47,SG
146,James Jones,2004,Miami (FL),28,34.2,5.6,12.5,0.447,4.2,9,0.466,1.4,3.6,0.4,4.2,5.1,0.831,16.9,6,1.8,1.6,1.8,2.5,2.7,IND,1.2,0.3,0,0.2,0,0,49,SF
147,Kyle Korver,2004,Creighton,34,31.8,5.4,11.5,0.468,1.6,3.6,0.443,3.8,7.9,0.48,3.2,3.5,0.908,17.8,6.4,3.1,1.5,0.7,2,2.6,PHI,4.5,1.5,0.5,0.3,0.1,0.6,51,SF
150,Brandon Hunter,2004,Ohio,30,38.2,7.2,13.8,0.523,6.9,12.6,0.545,0.4,1.2,0.297,6.6,11.2,0.594,21.5,12.6,2.6,0.8,1.2,3.6,2.8,BOS,3.5,3.3,0.5,0.4,0,0.6,56,PF
151,Emeka Okafor,2005,UConn,36,32.4,7.3,12.1,0.599,7.3,12.1,0.599,0,0,0,3.1,6.1,0.518,17.6,11.5,1,1,4.1,2.3,2.4,CHA,15.1,10.9,0.9,0.8,1.7,1.7,2,PF
152,Ben Gordon,2005,UConn,39,34.5,6.1,14.1,0.434,3.5,8,0.434,2.7,6.2,0.433,3.6,4.4,0.829,18.5,4.7,4.5,1.4,0.2,2.8,2.3,CHI,15.1,2.6,2,0.6,0.1,2.3,3,SG
153,Devin Harris,2005,Wisconsin,32,36.3,5.9,12.9,0.459,3.6,6.6,0.54,2.3,6.3,0.373,5.3,6.8,0.792,19.5,4.3,4.4,1.8,0.1,2.1,1.9,DAL,5.7,1.3,2.2,1,0.3,1.1,5,PG
154,Josh Childress,2005,Stanford,23,29.8,5.4,11,0.488,3.9,7.3,0.536,1.5,3.7,0.395,3.4,4.1,0.821,15.7,7.5,2.7,0.9,1.6,2.2,2.3,ATL,10.1,6,1.9,0.9,0.4,1.3,6,SG
155,Luol Deng,2005,Duke,37,31.1,5.7,11.9,0.476,4.6,8.9,0.515,1.1,3,0.36,2.6,3.7,0.71,15.1,6.9,1.8,1.3,1.1,2.2,2.2,CHI,11.7,5.3,2.2,0.8,0.4,1.9,7,SF
156,Andre Iguodala,2005,Arizona,30,32.1,4.5,10.1,0.45,3.8,7.6,0.493,0.8,2.4,0.315,3.1,3.9,0.788,12.9,8.4,4.9,1.6,0.4,2.8,2.5,PHI,9,5.7,3,1.7,0.6,1.7,9,SG
157,Luke Jackson,2005,Oregon,31,34.6,6.8,13.9,0.488,4.4,8.5,0.519,2.4,5.4,0.44,5.3,6.1,0.862,21.2,7.2,4.5,1.3,0.2,3,1.7,CLE,2.9,0.6,0.3,0,0,0.2,10,SF
158,Kris Humphries,2005,Minnesota,29,34.1,7.6,17.2,0.444,7,15.4,0.455,0.6,1.7,0.34,5.9,7.9,0.742,21.7,10.1,0.7,0.9,1.1,2.8,2.2,UTA,4.1,2.9,0.6,0.4,0.3,0.8,14,PF
159,Kirk Snyder,2005,Nevada,34,31.7,6.1,14.3,0.431,4.6,9.7,0.47,1.6,4.6,0.348,4.9,6.7,0.731,18.8,5.7,3.4,1,0.6,3.5,2.1,UTA,5,1.8,0.5,0.4,0.3,0.9,16,SG
160,Jameer Nelson,2005,St. Joseph's,32,33.9,7.3,15.4,0.475,5,9.6,0.526,2.3,5.8,0.39,3.7,4.7,0.792,20.6,4.7,5.3,2.8,0,2.8,1.8,ORL,8.7,2.4,3,1,0,1.5,20,PG
161,Delonte West,2005,St. Joseph's,32,33.5,6.6,13,0.51,4.9,8.8,0.557,1.8,4.3,0.412,3.9,4.3,0.892,18.9,5.4,4.7,1.7,0.2,2.6,1.9,BOS,4.5,1.7,1.4,0.5,0.2,0.6,24,SG
162,Tony Allen,2005,Oklahoma State,35,31.6,5.8,11.6,0.504,5.2,9.5,0.55,0.6,2.1,0.297,3.7,5.5,0.675,16,5.5,3.1,2.1,0.9,2.8,3,BOS,6.4,2.9,0.8,1,0.3,1,25,SG
163,Kevin Martin,2005,Western Carolina,27,31.2,7.7,16.3,0.474,5.8,10.6,0.547,1.9,5.6,0.336,7.6,9.3,0.817,24.9,4.8,1.7,1.9,0.3,3.1,1.9,SAC,2.9,1.3,0.5,0.4,0.1,0.5,26,PG
164,David Harrison,2005,Colorado,29,31.6,6.4,10.2,0.631,6.4,10.1,0.633,0,0,0,4.3,8,0.539,17.1,8.8,0.9,0.6,2.9,2.7,3.2,IND,6.1,3.1,0.3,0.4,1.3,1.2,29,C
165,Jackson Vroman,2005,Iowa State,32,30.7,5.8,10.3,0.564,5.8,10.1,0.573,0,0.2,0.143,2.3,4.4,0.507,13.9,9.6,2.3,1.4,0.7,3.2,3.5,TOT,4.6,3.8,0.9,0.5,0.4,1.4,31,C
166,Lionel Chalmers,2005,Xavier,37,34.9,5.5,12.3,0.449,2.8,5.6,0.498,2.7,6.7,0.409,2.8,4,0.709,16.6,3.3,3.2,1.1,0,2.8,2.1,LAC,3.1,0.9,1.4,0.4,0,0.7,33,PG
167,Andre Emmett,2005,Texas Tech,34,37,7.6,14.5,0.526,7.2,13.2,0.543,0.5,1.3,0.356,4.9,6.6,0.73,20.6,6.6,1.8,1.3,0.3,2.1,1.4,MEM,0.9,0.3,0,0,0,0.1,35,SG
168,Antonio Burks,2005,Memphis,30,34.3,5.9,12.4,0.474,4,7.8,0.511,1.9,4.6,0.413,2.4,3.8,0.632,16,3.2,5.5,2.4,0.2,2.5,2.3,MEM,3,0.5,1.2,0.5,0,0.5,36,PG
169,Royal Ivey,2005,Texas,33,29.7,3.4,7.5,0.448,3,6.6,0.456,0.4,0.9,0.387,2.3,3.7,0.626,9.4,4,4.3,1.2,0.2,1.5,2.5,ATL,3.5,1.4,1.7,0.6,0.1,0.9,37,PG
170,Chris Duhon,2005,Duke,37,35.4,3.7,8.3,0.448,2.9,5.7,0.514,0.8,2.6,0.302,1.8,2.4,0.722,10,4.1,6.1,2.2,0.2,2.8,2.1,CHI,5.9,2.6,4.9,1,0,1.5,38,PG
171,Justin Reed,2005,Ole Miss,28,33.5,6.9,14.9,0.464,6.4,12.8,0.501,0.5,2.1,0.237,4.2,5.7,0.731,18.5,7.5,1.5,0.7,0.8,3,3.1,BOS,1.8,0.7,0.4,0.1,0,0.2,40,SF
172,Trevor Ariza,2005,UCLA,25,31.6,4.3,10,0.426,3.6,7,0.509,0.7,3,0.237,2.3,4.5,0.504,11.6,6.5,2.1,1.7,0.4,3.2,2.8,NYK,5.9,3,1.1,0.9,0.2,0.9,43,SF
174,Bernard Robinson,2005,Michigan,34,32.2,4.4,10.2,0.432,3.9,8.2,0.477,0.5,2,0.25,2.8,3.6,0.77,12.1,5.7,3.8,1.9,0.3,2.7,2.5,CHA,3,1.5,1,0.4,0.1,0.6,45,SG
175,Pape Sow,2005,Cal State Fullerton,28,32.2,5.7,11.6,0.494,5.4,10.7,0.507,0.3,0.9,0.333,5.6,8.3,0.675,17.3,9.7,0.9,1.6,0.6,3,3.6,TOR,2.3,2.1,0.1,0.4,0.1,0.4,47,C
179,Matt Freije,2005,Vanderbilt,33,29.8,5.6,13.5,0.415,3.7,8.2,0.452,1.9,5.3,0.356,5.3,6.7,0.788,18.4,5.4,0.9,0.7,0.6,1,1.6,NOH,4,2.7,0.9,0.6,0.1,0.7,53,PF
181,Luis Flores,2005,Manhattan,31,36.2,7.5,17.1,0.442,5.4,11.2,0.478,2.2,5.9,0.374,6.7,7.8,0.863,24,3.9,1.6,1.9,0.1,2.4,2.5,TOT,2.2,0.2,0.7,0.1,0,0.7,55,PG
185,Andrew Bogut,2006,Utah,35,35,8,12.9,0.62,7.8,12.2,0.636,0.3,0.7,0.36,4.1,5.9,0.692,20.4,12.2,2.3,1,1.9,2.7,2.2,MIL,9.4,7,2.3,0.6,0.8,1.5,1,PF
186,Marvin Williams,2006,UNC,36,22.2,3.5,6.9,0.506,2.9,5.6,0.522,0.5,1.2,0.432,3.8,4.5,0.847,11.3,6.6,0.7,1.1,0.5,1.6,2.6,ATL,8.5,4.8,0.8,0.6,0.3,1.1,2,PF
187,Deron Williams,2006,Illinois,39,33.7,4.6,10.5,0.433,2.8,5.7,0.491,1.7,4.8,0.364,1.7,2.5,0.677,12.5,3.6,6.8,1,0.2,2.8,2.1,UTA,10.8,2.4,4.5,0.8,0.2,1.8,3,PG
188,Chris Paul,2006,Wake Forest,32,33.4,4.5,9.9,0.451,3,6.9,0.441,1.4,3,0.474,4.9,5.8,0.834,15.3,4.5,6.6,2.4,0,2.8,2.6,NOK,16.1,5.1,7.8,2.2,0.1,2.3,4,PG
189,Raymond Felton,2006,UNC,36,31.7,4.2,9.2,0.455,2.2,4.8,0.468,1.9,4.4,0.44,2.6,3.7,0.701,12.9,4.3,6.9,2,0.3,3.6,2,CHA,11.9,3.3,5.6,1.3,0.1,2.3,5,PG
190,Charlie Villanueva,2006,UConn,31,25.7,5.1,9.8,0.521,4.9,9.5,0.522,0.2,0.4,0.5,3.1,4.5,0.688,13.6,8.3,1.3,0.6,1.8,2.3,2.2,TOR,13,6.4,1.1,0.7,0.8,1.2,7,PF
191,Channing Frye,2006,Arizona,37,31,6.1,11.1,0.554,6.1,10.6,0.57,0.1,0.5,0.176,3.4,4.1,0.83,15.8,7.6,1.9,0.9,2.3,1.7,2.6,NYK,12.3,5.8,0.8,0.5,0.7,1.5,8,C
192,Ike Diogu,2006,Arizona State,32,36.4,7.2,12.4,0.575,6.6,11,0.598,0.6,1.4,0.4,7.8,9.7,0.797,22.6,9.8,1.3,0.6,2.3,3.6,2.8,GSW,7,3.3,0.4,0.2,0.4,1.1,9,PF
193,Sean May,2006,UNC,37,26.8,6.2,10.9,0.567,6.2,10.8,0.571,0,0.1,0,5.2,6.8,0.758,17.5,10.7,1.7,1.2,1,2.5,2.4,CHA,8.2,4.7,1,0.7,0.5,1.4,13,PF
194,Rashad McCants,2006,UNC,33,25.9,5.5,11.3,0.489,3.4,6.2,0.544,2.2,5.1,0.423,2.8,3.8,0.722,16,3,2.7,1.3,0.7,1.9,2.4,MIN,7.9,1.8,0.8,0.6,0.3,1.1,14,SG
195,Antoine Wright,2006,Texas A&M,31,33.9,6.2,12.4,0.501,3.9,7.3,0.54,2.3,5.1,0.447,3.1,4.5,0.691,17.8,6,2.2,1.2,0.7,2.4,2.5,NJN,1.8,0.8,0.3,0.1,0.1,0.5,15,SG
196,Joey Graham,2006,Oklahoma State,33,30.6,6.1,11.5,0.529,5.3,9.8,0.538,0.8,1.7,0.473,4.8,5.4,0.887,17.7,6.2,2,0.9,0.2,2.7,3.1,TOR,6.7,3.1,0.8,0.5,0.2,1.2,16,SF
197,Danny Granger,2006,New Mexico,30,30,6.1,11.6,0.524,4.6,8.2,0.563,1.5,3.5,0.433,5.1,6.8,0.755,18.8,8.9,2.4,2.1,2,2.4,2.4,IND,7.5,4.9,1.2,0.7,0.8,1,17,SF
198,Hakim Warrick,2006,Syracuse,34,37.5,7.4,13.6,0.548,7.2,12.7,0.566,0.3,0.9,0.29,6.2,9.1,0.681,21.4,8.6,1.5,1,0.8,2.5,2.3,MEM,4.1,2.1,0.4,0.2,0.3,0.8,19,PF
199,Julius Hodge,2006,NC State,34,34.6,5.8,11.8,0.493,5.4,10.1,0.53,0.4,1.6,0.255,5,7.4,0.668,17,6.6,4.8,1.4,0.7,2.6,2.2,DEN,0.9,0.5,0.4,0.1,0,0.6,20,SG
200,Nate Robinson,2006,Washington,35,31.5,5.4,11.6,0.463,3.6,7,0.514,1.8,4.6,0.385,3.9,5,0.782,16.4,3.9,4.3,1.7,0.2,2,2.8,NYK,9.3,2.3,2,0.8,0,1.6,21,PG
201,Jarrett Jack,2006,Georgia Tech,32,34.1,5.1,10,0.514,3.7,6.7,0.549,1.4,3.3,0.442,3.8,4.4,0.866,15.5,4.8,4.5,1.8,0.1,3.4,1.7,POR,6.7,2,2.8,0.5,0,1.3,22,SG
202,Luther Head,2006,Illinois,39,33.3,5.5,11.8,0.463,2.5,4.6,0.547,3,7.3,0.41,2,2.5,0.788,15.9,4,3.8,1.7,0.2,1.8,1.4,HOU,8.8,3.3,2.7,1.1,0.1,1.5,24,SG
203,Jason Maxiell,2006,Cincinnati,33,31.4,5,9.2,0.543,4.9,9,0.545,0.1,0.2,0.4,5.3,8.3,0.645,15.3,7.7,0.8,1,2.7,1.9,2.5,DET,2.3,1.1,0.1,0.2,0.2,0.4,26,PF
204,Linas Kleiza,2006,Missouri,33,31.5,5,12.4,0.403,4.1,9,0.453,0.9,3.4,0.274,5.1,7,0.732,16.1,7.6,1.6,0.6,0.3,2.7,2.8,DEN,3.5,1.9,0.2,0.2,0.2,0.3,27,PF
205,Wayne Simien,2006,Kansas,26,34.3,7.3,13.3,0.552,7.2,12.8,0.563,0.2,0.5,0.286,5.5,6.7,0.816,20.3,11,1.4,0.6,0.6,2.3,2.6,MIA,3.4,2,0.2,0.3,0,0.6,29,PF
206,David Lee,2006,Florida,32,28,5,9.5,0.525,5,9.4,0.532,0,0.1,0,3.6,5,0.714,13.6,9,2.2,1.1,0.8,2.7,2.4,NYK,5.1,4.5,0.6,0.4,0.3,0.8,30,SF
207,Salim Stoudamire,2006,Arizona,36,31.3,5.8,11.6,0.504,2.5,5,0.503,3.3,6.6,0.504,3.4,3.7,0.91,18.4,2.3,2.2,0.8,0.1,2.4,1.8,ATL,9.7,1.9,1.2,0.4,0,1.3,31,SG
208,Daniel Ewing,2006,Duke,33,34.5,5.5,12.8,0.427,3.4,6.8,0.498,2.1,6,0.347,2.2,3.2,0.692,15.3,3.2,4,2,0.4,3,3,LAC,3.8,1.3,1.3,0.6,0.1,0.9,32,SG
209,Brandon Bass,2006,LSU,30,33.6,6,10.6,0.567,5.6,9.8,0.577,0.4,0.9,0.462,4.9,6.3,0.777,17.3,9.1,0.8,0.8,1.6,1.8,2.4,NOK,2.3,2.3,0.1,0.1,0.2,0.4,33,PF
210,Ronny Turiaf,2006,Gonzaga,31,31.2,5.1,10,0.508,5,9.7,0.513,0.1,0.2,0.286,5.7,8.4,0.683,15.9,9.5,1.5,0.4,1.9,2.3,2.7,LAL,2,1.6,0.3,0.1,0.4,0.3,37,C
211,Travis Diener,2006,Marquette,23,34,5.7,13.6,0.42,2.7,6.3,0.438,3,7.3,0.405,5.4,6.4,0.838,19.7,3.9,7,1.3,0,2.5,2,ORL,3.8,0.9,0.7,0.3,0,0.4,38,PG
212,Von Wafer,2006,Florida State,29,26.1,4.3,9.8,0.437,2,4.1,0.492,2.2,5.7,0.396,1.7,2.3,0.721,12.5,2.5,1.7,1,0.3,1.7,1.1,LAL,1.3,0.5,0.3,0.2,0,0.1,39,SG
213,Chris Taft,2006,Pitt,29,26.5,5.5,9.4,0.58,5.5,9.4,0.58,0,0,0,2.3,4,0.586,13.3,7.5,0.8,0.4,1.7,1.6,1.7,GSW,2.8,2.1,0.1,0.1,0.4,0.1,42,C
214,Bracey Wright,2006,Indiana,26,35.3,5.8,14,0.413,3.8,8.1,0.474,1.9,5.8,0.329,4.8,6.2,0.783,18.3,4.8,2.7,1.1,0.6,2.6,1.9,MIN,8.9,2.6,0.7,0.1,0,1.1,47,SG
215,Ryan Gomes,2006,Providence,31,37.5,8,16.1,0.496,6.3,11.6,0.54,1.7,4.4,0.38,4,5.2,0.77,21.6,8.2,3.2,1.5,0.2,2.5,1.6,BOS,7.6,4.9,1,0.6,0.1,0.9,50,PF
216,Orien Greene,2006,Louisiana,24,32.3,3.8,9.9,0.388,2.4,5.5,0.443,1.4,4.4,0.321,2.6,3.4,0.756,11.7,4.7,4.1,2.8,0.3,3.5,3,BOS,3.2,1.8,1.6,1,0.1,1.4,53,PG
217,Dijon Thompson,2006,UCLA,28,34.6,6.5,13.8,0.474,5,9.7,0.517,1.5,4.1,0.374,3.8,4.9,0.787,18.4,7.9,2.3,1.5,0.3,3.3,2.2,PHO,2.8,1.1,0.1,0.3,0.1,0.2,54,SG
218,Lawrence Roberts,2006,Mississippi State,32,32,5.3,11.9,0.448,5,10.7,0.466,0.4,1.3,0.293,5.9,9,0.653,16.9,11,1.9,1.6,0.8,2.7,2.2,MEM,1.5,1.5,0.2,0.2,0.1,0.2,55,C
219,Alex Acker,2006,Pepperdine,31,37.2,5.9,13.1,0.45,4,8.7,0.459,1.9,4.4,0.431,2.9,3.4,0.858,16.6,6.5,3.7,1.3,0.5,2.6,1.9,DET,1.8,1,0.8,0.2,0,0.8,60,SG
220,LaMarcus Aldridge,2007,Texas,37,33.7,5.9,10.4,0.569,5.9,10.4,0.569,0,0,0,3.2,4.9,0.646,15,9.2,0.5,1.4,2,1.6,2.5,POR,9,5,0.4,0.3,1.2,0.7,2,C
221,Adam Morrison,2007,Gonzaga,33,36.5,9.3,18.7,0.496,7,13.5,0.523,2.2,5.2,0.428,7.3,9.4,0.772,28.1,5.5,1.7,1.1,0.3,2.3,2,CHA,11.8,2.9,2.1,0.4,0.1,1.7,3,PF
222,Tyrus Thomas,2007,LSU,32,25.9,4.8,7.8,0.608,4.7,7.8,0.606,0,0,1,2.8,4.3,0.657,12.3,9.2,1.3,1,3.1,1.8,2.6,CHI,5.2,3.7,0.6,0.6,1.1,1.3,4,PF
223,Shelden Williams,2007,Duke,36,33.3,6.6,11.4,0.578,6.5,11.2,0.582,0.1,0.2,0.333,5.6,7.5,0.744,18.8,10.7,1.1,1.7,3.8,2.5,3.2,ATL,5.5,5.4,0.5,0.6,0.5,1.2,5,PF
224,Brandon Roy,2007,Washington,33,31.7,6.9,13.6,0.508,5.7,10.7,0.537,1.2,2.9,0.402,5.2,6.4,0.81,20.2,5.6,4.1,1.4,0.8,2.3,2.5,POR,16.8,4.4,4,1.2,0.2,2,6,SG
225,Randy Foye,2007,Villanova,33,34.7,6.8,16.7,0.411,4.2,9,0.463,2.7,7.7,0.35,4.1,5.2,0.791,20.5,5.8,3,1.4,0.6,2.2,2.2,MIN,10.1,2.7,2.8,0.6,0.3,1.9,7,PG
226,Rudy Gay,2007,UConn,33,30.8,5.7,12.3,0.461,4.8,9.6,0.5,0.8,2.7,0.318,3.1,4.2,0.732,15.2,6.4,2.1,1.8,1.6,2.5,2.3,MEM,10.8,4.5,1.3,0.9,0.9,1.8,8,SF
227,Hilton Armstrong,2007,UConn,34,27.7,3.5,5.7,0.608,3.4,5.6,0.609,0,0.1,0.5,2.7,3.9,0.692,9.7,6.6,0.7,0.6,3.1,2.3,2.8,NOK,3.1,2.7,0.2,0.2,0.5,0.6,12,C
228,Ronnie Brewer,2007,Arkansas,32,34.8,6.2,14,0.441,4.6,9.3,0.493,1.6,4.7,0.338,4.5,6,0.75,18.4,4.8,3.3,2.6,0.5,2.2,1.4,UTA,4.6,1.3,0.4,0.7,0.1,0.4,14,SG
229,Cedric Simmons,2007,NC State,32,27.5,4,6.8,0.587,3.9,6.8,0.583,0.1,0.1,1,3.8,5.5,0.678,11.8,6.3,1.7,0.7,2.5,1.8,3.1,NOK,2.9,2.5,0.3,0.2,0.5,0.5,15,PF
230,Rodney Carney,2007,Memphis,37,27.8,5.9,13.6,0.436,3.2,6.6,0.484,2.8,7.1,0.391,2.5,3.6,0.712,17.2,4.3,1.3,1.3,0.7,1.5,2.3,PHI,6.6,1.9,0.4,0.6,0.3,0.6,16,SF
231,Shawne Williams,2007,Memphis,36,27.8,4.3,10.4,0.416,3,6.1,0.489,1.3,4.3,0.312,3.2,4,0.786,13.2,6.2,1.9,1.4,1.4,2.3,2.9,IND,3.9,1.8,0.5,0.1,0.2,0.5,17,SG
232,Quincy Douby,2007,Rutgers,33,36.7,8.7,18.8,0.462,5.2,10.1,0.515,3.5,8.8,0.401,4.5,5.3,0.847,25.4,4.3,3.1,1.8,0.8,2.8,1.8,SAC,2.8,0.9,0.4,0.4,0.1,0.4,19,PG
233,Renaldo Balkman,2007,South Carolina,38,25.7,4,6.6,0.608,3.9,6.2,0.624,0.1,0.3,0.308,1.5,2.7,0.538,9.6,6.3,1.9,1.7,1.3,1.7,2.2,NYK,4.9,4.3,0.6,0.8,0.6,0.7,20,SF
234,Rajon Rondo,2007,Kentucky,34,31,4.3,9,0.482,3.8,7,0.54,0.5,1.9,0.273,2,3.5,0.571,11.2,6.1,4.9,2,0.1,2.3,2.1,BOS,6.4,3.7,3.8,1.6,0.1,1.8,21,PG
235,Marcus Williams,2007,UConn,23,33.3,3.6,8.9,0.407,2.6,6.3,0.41,1,2.6,0.4,4.1,4.7,0.862,12.3,3.9,8.6,0.9,0.2,3.7,1.7,NJN,6.8,2.1,3.3,0.4,0,1.8,22,PG
237,Josh Boone,2007,UConn,34,27.1,4,7.1,0.564,4,7.1,0.564,0,0,0,2.2,4.1,0.547,10.3,7,0.6,0.4,2,1.2,2.1,NJN,4.2,2.9,0.2,0.2,0.3,0.5,23,PF
238,Kyle Lowry,2007,Villanova,33,29.3,3.5,7.6,0.466,3.3,7.1,0.468,0.2,0.5,0.444,3.7,4.7,0.786,11,4.3,3.7,2.3,0.2,2.1,2.8,MEM,5.6,3.1,3.2,1.4,0.1,1.2,24,PG
