,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Pick,Position
35,Chris Porter,2001,Auburn,26,29,5.4,11.7,0.464,5.3,11,0.477,0.2,0.7,0,3.6,5.3,0.676,14.6,7.3,1.2,2,0.3,2.1,2.7,GSW,8.6,3.7,1.2,0.9,0.1,1.2,55,SF
39,Jason Richardson,2002,Michigan State,33,28.5,5.5,11,0.503,4,7.3,0.554,1.5,3.7,0,2.2,3.2,0.689,14.7,5.9,2.2,1.2,0.8,1.3,2.2,GSW,14.4,4.3,3,1.3,0.4,2,5,SG
40,Shane Battier,2002,Duke,39,34.9,6.4,13.7,0.471,3.3,6.1,0.536,3.2,7.6,0,3.9,4.9,0.796,19.9,7.3,1.8,2.1,2.3,1.5,2.1,MEM,14.4,5.4,2.8,1.6,1,2,6,SF
41,Eddie Griffin,2002,Seton Hall,30,32.6,6.9,16,0.429,5.5,11.7,0.469,1.4,4.3,0.32,2.7,3.6,0.734,17.8,10.8,1.6,0.9,4.4,2.2,2.4,HOU,8.8,5.7,0.7,0.2,1.8,0.6,7,PF
42,Rodney White,2002,Charlotte,28,30.9,6.7,13.8,0.487,5.5,10.4,0.533,1.2,3.4,0.347,4.1,5.7,0.713,18.7,6.5,1.5,1.2,0.7,2.9,2.6,DET,3.5,1.1,0.8,0.6,0.1,0.9,9,SF
43,Joe Johnson,2002,Arkansas,30,29.1,5.4,11.5,0.468,4.2,8.9,0.476,1.2,2.6,0.443,2.3,3,0.747,14.2,6.4,2.6,1.4,0.4,2.3,1.5,TOT,7.5,3.3,2.3,0.8,0.3,0.9,10,SG
44,Richard Jefferson,2002,Arizona,35,27.5,4.2,8.8,0.479,3.3,6.2,0.535,0.9,2.6,0.344,2.1,3.1,0.655,11.3,5.4,2.7,0.8,0.8,3,2.8,NJN,9.4,3.7,1.8,0.8,0.6,1.4,13,SF
45,Troy Murphy,2002,Notre Dame,30,36.3,7.4,15.8,0.471,6.4,12.9,0.499,1,2.9,0.349,5.9,7.7,0.766,21.8,9.2,2.1,0.9,1.7,3,3.2,GSW,5.9,3.9,0.9,0.4,0.3,1,14,PF
46,Steven Hunter,2002,DePaul,30,26.9,4.6,7.8,0.592,4.6,7.8,0.592,0,0,0,2.2,4.2,0.536,11.4,5.6,0.5,0.2,2.4,1.5,2.3,ORL,3.6,1.8,0.1,0.1,0.8,0.3,15,C
47,Kirk Haston,2002,Indiana,33,30.8,7.4,16.7,0.44,6.6,14.6,0.449,0.8,2.1,0,3.5,5,0.687,19,8.7,1.2,1.1,1.2,2.4,2.8,CHH,1.7,1.3,0.3,0,0.1,0.2,16,PF
